date,close,open,high,low,volume
2005-11-22,7016.0,8164.0,8572.0,6939.0,1065049
2005-11-23,6658.0,6913.0,7194.0,6454.0,366374
2005-11-24,6684.0,6531.0,6888.0,6531.0,341478
2005-11-25,7194.0,6786.0,7322.0,6786.0,606009
2005-11-28,6735.0,7322.0,7347.0,6735.0,237825
2005-11-29,6684.0,6684.0,6888.0,6658.0,130298
2005-11-30,6684.0,6658.0,6786.0,6531.0,158190
2005-12-01,6658.0,6684.0,6684.0,6531.0,148220
2005-12-02,6888.0,6760.0,7501.0,6658.0,627839
2005-12-05,7143.0,7016.0,7220.0,6862.0,213293
2005-12-06,7016.0,7067.0,7220.0,6735.0,168972
2005-12-07,6990.0,6964.0,7092.0,6760.0,124670
2005-12-08,6862.0,6939.0,7067.0,6735.0,108821
2005-12-09,6709.0,6735.0,6913.0,6709.0,64051
2005-12-12,6505.0,6633.0,6786.0,6429.0,167454
2005-12-13,6276.0,6505.0,6505.0,6123.0,239610
2005-12-14,6276.0,6301.0,6429.0,6225.0,189925
2005-12-15,5919.0,6276.0,6378.0,5919.0,181805
2005-12-16,5281.0,5765.0,5816.0,5179.0,253060
2005-12-19,5408.0,5179.0,5485.0,5179.0,153558
2005-12-20,5383.0,5281.0,5434.0,5281.0,140075
2005-12-21,5510.0,5383.0,5612.0,5383.0,127207
2005-12-22,5689.0,5561.0,5791.0,5281.0,649418
2005-12-23,5306.0,5612.0,5663.0,5255.0,143531
2005-12-26,5332.0,5230.0,5408.0,5230.0,111065
2005-12-27,5153.0,5383.0,5434.0,5102.0,164328
2005-12-28,5010.0,4975.0,5128.0,4975.0,108601
2005-12-29,4888.0,5010.0,5077.0,4822.0,145853
2006-01-02,5092.0,4949.0,5153.0,4908.0,75873
2006-01-03,5128.0,5036.0,5179.0,4975.0,115251
2006-01-04,5306.0,5102.0,5434.0,5102.0,168320
2006-01-05,6021.0,5434.0,6097.0,5408.0,569715
2006-01-06,6327.0,5893.0,6531.0,5740.0,440502
2006-01-09,6276.0,6352.0,6429.0,6072.0,130906
2006-01-10,5816.0,6225.0,6403.0,5816.0,114347
2006-01-11,6123.0,5868.0,6403.0,5714.0,189132
2006-01-12,6327.0,6072.0,6352.0,6072.0,148080
2006-01-13,6378.0,6174.0,6505.0,6148.0,160822
2006-01-16,6454.0,6301.0,6556.0,6276.0,123807
2006-01-17,6225.0,6531.0,6531.0,6174.0,100839
2006-01-18,5944.0,6301.0,6301.0,5714.0,123340
2006-01-19,5893.0,5944.0,6072.0,5868.0,35738
2006-01-20,5816.0,5765.0,6021.0,5663.0,68430
2006-01-23,5510.0,5561.0,5765.0,5179.0,123950
2006-01-24,5408.0,5408.0,5587.0,5204.0,66838
2006-01-25,5510.0,5255.0,5612.0,5255.0,63550
2006-01-26,5510.0,5510.0,5663.0,5332.0,44410
2006-01-27,5816.0,5612.0,5816.0,5510.0,65290
2006-01-31,5919.0,5816.0,5919.0,5663.0,66850
2006-02-01,5612.0,5919.0,5919.0,5459.0,49630
2006-02-02,5357.0,5587.0,5612.0,5281.0,62296
2006-02-03,5128.0,5255.0,5459.0,5026.0,77450
2006-02-06,5204.0,5010.0,5255.0,5010.0,33450
2006-02-07,5357.0,5179.0,5434.0,5179.0,39192
2006-02-08,5332.0,5408.0,5408.0,5281.0,14490
2006-02-09,5306.0,5357.0,5459.0,5204.0,15930
2006-02-10,5255.0,5281.0,5408.0,5230.0,15130
2006-02-13,5408.0,5357.0,5459.0,5204.0,42464
2006-02-14,5536.0,5357.0,5663.0,5357.0,71980
2006-02-15,5408.0,5510.0,5587.0,5408.0,24060
2006-02-16,5408.0,5306.0,5434.0,5306.0,18630
2006-02-17,5383.0,5408.0,5510.0,5332.0,16890
2006-02-20,5357.0,5332.0,5383.0,5255.0,11820
2006-02-21,5332.0,5357.0,5434.0,5281.0,31060
2006-02-22,5357.0,5408.0,5459.0,5332.0,23602
2006-02-23,5510.0,5408.0,5561.0,5306.0,28070
2006-02-24,5459.0,5510.0,5510.0,5408.0,8520
2006-02-27,5357.0,5459.0,5459.0,5306.0,16861
2006-02-28,5383.0,5357.0,5408.0,5255.0,23910
2006-03-02,5357.0,5408.0,5408.0,5332.0,16330
2006-03-03,5383.0,5357.0,5408.0,5281.0,24140
2006-03-06,5357.0,5383.0,5383.0,5255.0,10177
2006-03-07,5434.0,5357.0,5612.0,5306.0,43829
2006-03-08,5816.0,5434.0,5970.0,5434.0,113419
2006-03-09,6021.0,5868.0,6148.0,5842.0,133360
2006-03-10,6174.0,6046.0,6199.0,5868.0,263130
2006-03-13,6225.0,6352.0,6403.0,6199.0,114762
2006-03-14,6225.0,6174.0,6352.0,6097.0,60320
2006-03-15,6709.0,6352.0,6939.0,6123.0,354870
2006-03-16,6480.0,6658.0,7016.0,6378.0,294471
2006-03-17,6556.0,6480.0,6735.0,6276.0,100155
2006-03-20,6352.0,6480.0,6607.0,6327.0,52629
2006-03-21,6429.0,6301.0,6582.0,6301.0,72360
2006-03-22,6327.0,6327.0,6531.0,6327.0,52968
2006-03-23,6735.0,6403.0,6786.0,6378.0,188596
