date,close,open,high,low,volume
2005-07-25,7910.0,9307.0,9772.0,7910.0,47463
2005-07-26,7399.0,6769.0,7608.0,6723.0,179840
2005-07-27,7049.0,7398.0,7840.0,7048.0,83175
2005-07-28,6957.0,7165.0,7212.0,6792.0,72040
2005-07-29,6979.0,6955.0,7212.0,6885.0,56541
2005-08-01,6771.0,6816.0,6956.0,6747.0,28456
2005-08-02,6607.0,6723.0,6885.0,6560.0,17176
2005-08-03,6469.0,6537.0,6607.0,6467.0,34539
2005-08-04,6259.0,6305.0,6560.0,6048.0,31844
2005-08-05,6236.0,6118.0,6630.0,6048.0,20321
2005-08-08,6259.0,6094.0,6257.0,5955.0,13061
2005-08-09,6049.0,6072.0,6234.0,6049.0,4998
2005-08-10,6096.0,6072.0,6398.0,6072.0,8272
2005-08-11,6142.0,6142.0,6234.0,6048.0,4341
2005-08-12,6142.0,6164.0,6211.0,6072.0,10860
2005-08-16,6096.0,6164.0,6164.0,6049.0,4230
2005-08-17,6004.0,6049.0,6049.0,5817.0,10610
2005-08-18,5909.0,5862.0,6001.0,5699.0,16322
2005-08-19,5678.0,5816.0,5839.0,5629.0,7917
2005-08-22,5537.0,5677.0,5677.0,5444.0,25001
2005-08-23,5467.0,5489.0,5629.0,5443.0,9972
2005-08-24,5421.0,5443.0,5443.0,5350.0,5821
2005-08-25,5375.0,5327.0,5676.0,5327.0,6469
2005-08-26,5514.0,5467.0,5770.0,5444.0,20077
2005-08-29,5537.0,5467.0,5629.0,5235.0,9160
2005-08-30,5444.0,5443.0,5559.0,5373.0,4500
2005-08-31,5351.0,5257.0,5467.0,5257.0,11660
2005-09-01,5584.0,5304.0,5677.0,5304.0,11191
2005-09-02,6422.0,5676.0,6421.0,5676.0,36528
2005-09-05,7376.0,6980.0,7374.0,6793.0,98242
2005-09-06,7399.0,7676.0,8305.0,7072.0,121669
2005-09-07,7399.0,7560.0,7584.0,7165.0,30237
2005-09-08,6747.0,7352.0,7352.0,6561.0,40762
2005-09-09,6887.0,6699.0,7141.0,6583.0,25880
2005-09-12,6795.0,6840.0,6980.0,6631.0,16020
2005-09-13,6469.0,6747.0,6863.0,6467.0,21773
2005-09-14,6725.0,6421.0,6747.0,6421.0,9975
2005-09-15,6469.0,6770.0,6840.0,6351.0,8360
2005-09-16,6469.0,6421.0,6561.0,6305.0,9342
2005-09-20,6514.0,6397.0,6699.0,6397.0,5350
2005-09-21,7492.0,6513.0,7490.0,6513.0,73590
2005-09-22,7260.0,7398.0,7469.0,6956.0,34740
2005-09-23,6887.0,7141.0,7165.0,6839.0,22300
2005-09-26,6887.0,6839.0,7212.0,6839.0,14749
2005-09-27,6933.0,7071.0,7071.0,6769.0,8521
2005-09-28,6887.0,6885.0,6955.0,6769.0,8770
2005-09-29,7818.0,6980.0,7910.0,6980.0,214778
2005-09-30,8051.0,7677.0,8329.0,7514.0,45200
2005-10-04,8142.0,8096.0,8491.0,7910.0,29300
2005-10-05,8004.0,8073.0,8259.0,7863.0,12770
2005-10-06,7840.0,7770.0,7979.0,7723.0,11425
2005-10-07,7655.0,7817.0,7817.0,7654.0,7710
2005-10-10,7724.0,7514.0,8072.0,7514.0,8515
