date,close,open,high,low,volume
2006-03-15,4060.0,3890.0,4324.0,3885.0,10550018
2006-03-16,4060.0,4103.0,4137.0,3972.0,3899188
2006-03-17,4077.0,4054.0,4123.0,4037.0,1941397
2006-03-20,4069.0,4054.0,4091.0,4054.0,1033298
2006-03-21,4065.0,4054.0,4075.0,4048.0,1236693
2006-03-22,4004.0,4044.0,4044.0,3927.0,1507148
2006-03-23,4004.0,4028.0,4048.0,4002.0,1678581
2006-03-24,3978.0,3954.0,3999.0,3949.0,513639
2006-03-27,3933.0,3970.0,3970.0,3904.0,500912
2006-03-28,3916.0,3900.0,3935.0,3888.0,103183
2006-03-29,3893.0,3890.0,3904.0,3890.0,492366
2006-03-30,3872.0,3910.0,3910.0,3836.0,1660705
2006-03-31,3840.0,3870.0,3880.0,3809.0,886796
2006-04-03,3859.0,3837.0,3873.0,3826.0,616513
2006-04-04,3840.0,3842.0,3880.0,3838.0,645364
2006-04-05,3835.0,3878.0,3878.0,3824.0,537457
2006-04-06,3840.0,3838.0,3865.0,3838.0,122461
2006-04-07,3859.0,3865.0,3865.0,3829.0,144367
2006-04-10,3850.0,3836.0,3864.0,3836.0,91672
2006-04-11,3835.0,3867.0,3867.0,3824.0,237442
2006-04-12,3868.0,3838.0,3873.0,3838.0,713314
2006-04-13,3840.0,3870.0,3886.0,3830.0,548217
2006-04-14,3840.0,3838.0,3847.0,3820.0,529545
2006-04-17,3840.0,3842.0,3842.0,3827.0,186189
2006-04-18,3859.0,3843.0,3857.0,3843.0,268100
2006-04-19,3835.0,3851.0,3863.0,3812.0,616922
2006-04-20,3812.0,3828.0,3828.0,3804.0,220999
2006-04-21,3752.0,3812.0,3812.0,3748.0,631774
2006-04-24,3736.0,3726.0,3750.0,3713.0,1101170
2006-04-25,3736.0,3726.0,3736.0,3686.0,1593534
2006-04-26,3807.0,3726.0,3812.0,3726.0,816834
2006-04-27,3819.0,3803.0,3846.0,3786.0,3171954
2006-04-28,3812.0,3759.0,3835.0,3759.0,1567261
2006-05-02,3840.0,3809.0,3865.0,3809.0,528398
2006-05-03,3850.0,3864.0,3873.0,3836.0,235562
2006-05-04,3859.0,3837.0,3857.0,3837.0,8269951
2006-05-08,3890.0,3871.0,3887.0,3857.0,1396092
2006-05-09,3890.0,3901.0,3901.0,3866.0,1850439
2006-05-10,3893.0,3932.0,3932.0,3864.0,714466
2006-05-11,3893.0,3846.0,3904.0,3846.0,294239
2006-05-12,3933.0,3889.0,3998.0,3867.0,424448
2006-05-15,3921.0,3927.0,3927.0,3892.0,551941
2006-05-16,3893.0,3916.0,3916.0,3868.0,608798
2006-05-17,3893.0,3864.0,3893.0,3864.0,415344
2006-05-18,3859.0,3865.0,3885.0,3837.0,1313601
2006-05-19,3906.0,3842.0,3926.0,3842.0,1830216
2006-05-22,3880.0,3910.0,3910.0,3852.0,1752843
2006-05-23,3840.0,3892.0,3895.0,3820.0,3510454
2006-05-24,3840.0,3838.0,3865.0,3809.0,191888
2006-05-25,3840.0,3814.0,3865.0,3814.0,684814
2006-05-26,3840.0,3838.0,3865.0,3830.0,608044
2006-05-29,3829.0,3826.0,3836.0,3813.0,353258
2006-05-30,3819.0,3823.0,3834.0,3812.0,373609
2006-06-01,3758.0,3781.0,3818.0,3752.0,599576
2006-06-02,3731.0,3753.0,3759.0,3671.0,708669
2006-06-05,3702.0,3725.0,3730.0,3692.0,453503
2006-06-07,3670.0,3679.0,3822.0,3658.0,253575
2006-06-08,3641.0,3636.0,3662.0,3621.0,266909
2006-06-09,3637.0,3648.0,3668.0,3615.0,381924
2006-06-12,3641.0,3631.0,3696.0,3582.0,267039
2006-06-13,3674.0,3643.0,3696.0,3621.0,205361
2006-06-14,3697.0,3637.0,3736.0,3637.0,294173
2006-06-15,3674.0,3654.0,3690.0,3648.0,223401
2006-06-16,3702.0,3725.0,3725.0,3664.0,248696
2006-06-19,3702.0,3698.0,3698.0,3681.0,63085
2006-06-20,3658.0,3697.0,3697.0,3649.0,289175
2006-06-21,3652.0,3652.0,3667.0,3624.0,747567
2006-06-22,3694.0,3669.0,3686.0,3644.0,470235
2006-06-23,3702.0,3669.0,3720.0,3669.0,917324
2006-06-26,3694.0,3669.0,3692.0,3669.0,1037099
2006-06-27,3694.0,3678.0,3703.0,3678.0,1304675
2006-06-28,3802.0,3681.0,3797.0,3681.0,717607
2006-06-29,3747.0,3753.0,3769.0,3710.0,121073
2006-06-30,3731.0,3782.0,3782.0,3722.0,432191
2006-07-03,3674.0,3696.0,3696.0,3648.0,266483
2006-07-04,3674.0,3679.0,3690.0,3663.0,422385
2006-07-05,3664.0,3668.0,3677.0,3659.0,234407
2006-07-06,3637.0,3663.0,3663.0,3610.0,93703
2006-07-07,3543.0,3619.0,3623.0,3536.0,697226
2006-07-10,3510.0,3527.0,3533.0,3506.0,270204
2006-07-11,3510.0,3506.0,3506.0,3348.0,715332
2006-07-12,3460.0,3505.0,3505.0,3444.0,861243
2006-07-13,3457.0,3437.0,3463.0,3437.0,977304
2006-07-14,3422.0,3451.0,3455.0,3412.0,268184
2006-07-18,3374.0,3424.0,3424.0,3359.0,367109
2006-07-19,3346.0,3372.0,3379.0,3343.0,1003440
2006-07-20,3292.0,3364.0,3364.0,3282.0,367909
2006-07-21,3180.0,3264.0,3286.0,3144.0,1358487
2006-07-24,3225.0,3149.0,3224.0,3149.0,472648
2006-07-25,3292.0,3320.0,3336.0,3262.0,1004789
2006-07-26,3379.0,3336.0,3384.0,3285.0,614357
2006-07-27,3457.0,3433.0,3459.0,3373.0,980420
2006-07-28,3493.0,3452.0,3499.0,3423.0,604810
2006-07-31,3564.0,3455.0,3568.0,3450.0,649121
2006-08-01,3489.0,3516.0,3555.0,3473.0,238310
2006-08-02,3548.0,3504.0,3559.0,3492.0,555924
2006-08-03,3548.0,3559.0,3559.0,3509.0,1098785
2006-08-04,3533.0,3664.0,3664.0,3506.0,1222216
2006-08-07,3538.0,3562.0,3644.0,3535.0,454547
2006-08-08,3558.0,3554.0,3559.0,3527.0,1376862
2006-08-09,3510.0,3555.0,3555.0,3488.0,188502
2006-08-10,3446.0,3462.0,3505.0,3441.0,261080
2006-08-11,3483.0,3411.0,3477.0,3411.0,109209
2006-08-14,3474.0,3506.0,3506.0,3468.0,222627
2006-08-16,3451.0,3457.0,3488.0,3446.0,159091
2006-08-17,3466.0,3411.0,3476.0,3411.0,109314
2006-08-18,3451.0,3452.0,3452.0,3437.0,53000
2006-08-21,3457.0,3454.0,3459.0,3444.0,182977
2006-08-22,3477.0,3452.0,3472.0,3444.0,221293
2006-08-23,3477.0,3467.0,3477.0,3456.0,149654
2006-08-24,3457.0,3474.0,3479.0,3448.0,338383
2006-08-25,3457.0,3425.0,3468.0,3425.0,194522
2006-08-28,3466.0,3440.0,3476.0,3422.0,109737
2006-08-29,3428.0,3452.0,3561.0,3413.0,435628
2006-08-30,3346.0,3420.0,3453.0,3343.0,290613
2006-08-31,3510.0,3342.0,3538.0,3336.0,726397
2006-09-01,3422.0,3444.0,3451.0,3419.0,541931
2006-09-04,3451.0,3420.0,3463.0,3404.0,130258
2006-09-05,3457.0,3408.0,3459.0,3408.0,292328
2006-09-06,3451.0,3467.0,3478.0,3442.0,1224018
2006-09-07,3451.0,3431.0,3446.0,3386.0,157796
2006-09-08,3446.0,3445.0,3451.0,3436.0,105090
2006-09-11,3446.0,3441.0,3451.0,3436.0,83351
2006-09-12,3451.0,3442.0,3452.0,3431.0,86680
2006-09-13,3446.0,3441.0,3451.0,3430.0,118968
2006-09-14,3419.0,3423.0,3423.0,3407.0,601371
2006-09-15,3440.0,3414.0,3452.0,3414.0,113180
2006-09-18,3457.0,3416.0,3474.0,3416.0,74905
2006-09-19,3457.0,3433.0,3463.0,3433.0,877851
2006-09-20,3446.0,3441.0,3477.0,3441.0,193727
2006-09-21,3477.0,3440.0,3477.0,3440.0,134252
2006-09-22,3457.0,3474.0,3479.0,3444.0,263634
2006-09-25,3457.0,3437.0,3468.0,3425.0,216362
2006-09-26,3460.0,3461.0,3466.0,3406.0,213065
2006-09-27,3477.0,3435.0,3483.0,3430.0,745551
2006-09-28,3483.0,3477.0,3483.0,3462.0,80958
2006-09-29,3505.0,3505.0,3505.0,3484.0,532222
2006-10-02,3500.0,3504.0,3504.0,3487.0,67389
2006-10-04,3516.0,3538.0,3538.0,3506.0,105933
2006-10-09,3516.0,3506.0,3527.0,3501.0,426420
2006-10-10,3522.0,3505.0,3521.0,3505.0,206655
2006-10-11,3526.0,3521.0,3526.0,3521.0,180016
2006-10-12,3522.0,3521.0,3527.0,3505.0,133341
2006-10-13,3522.0,3527.0,3527.0,3505.0,622884
2006-10-16,3510.0,3521.0,3521.0,3485.0,111815
2006-10-17,3505.0,3487.0,3500.0,3462.0,296135
2006-10-18,3489.0,3478.0,3489.0,3453.0,236857
2006-10-19,3477.0,3483.0,3483.0,3462.0,237479
2006-10-20,3457.0,3474.0,3479.0,3448.0,185856
2006-10-23,3460.0,3451.0,3461.0,3444.0,1212547
2006-10-24,3493.0,3462.0,3487.0,3456.0,635165
2006-10-25,3483.0,3477.0,3486.0,3466.0,124318
2006-10-26,3483.0,3483.0,3483.0,3471.0,1820937
2006-10-27,3483.0,3636.0,3636.0,3471.0,2591621
2006-10-30,3510.0,3485.0,3506.0,3467.0,489696
2006-10-31,3510.0,3506.0,3521.0,3488.0,131082
2006-11-01,3558.0,3509.0,3554.0,3486.0,1032221
2006-11-02,3564.0,3565.0,3588.0,3021.0,1474064
2006-11-03,3510.0,3561.0,3615.0,3506.0,2144559
2006-11-06,3658.0,3561.0,3654.0,3561.0,1439686
2006-11-07,3768.0,3654.0,3781.0,3654.0,1089639
2006-11-08,3724.0,3767.0,3808.0,3714.0,669014
2006-11-09,3680.0,3730.0,3730.0,3679.0,158582
2006-11-10,3674.0,3676.0,3724.0,3668.0,80702
2006-11-13,3680.0,3670.0,3692.0,3655.0,284311
2006-11-14,3694.0,3678.0,3697.0,3678.0,256836
2006-11-15,3718.0,3698.0,3730.0,3698.0,537133
2006-11-16,3747.0,3737.0,3759.0,3727.0,688297
2006-11-17,3859.0,3753.0,3857.0,3726.0,973098
2006-11-20,3785.0,3847.0,3852.0,3783.0,771753
2006-11-21,3736.0,3758.0,3758.0,3713.0,567299
2006-11-22,3747.0,3744.0,3744.0,3688.0,394624
2006-11-23,3715.0,3752.0,3752.0,3709.0,1916303
2006-11-24,3718.0,3714.0,3730.0,3686.0,426214
2006-11-27,3731.0,3715.0,3736.0,3715.0,666816
2006-11-28,3731.0,3722.0,3743.0,3722.0,829726
2006-11-29,3741.0,3726.0,3751.0,3726.0,319893
2006-11-30,3741.0,3742.0,3767.0,3731.0,166252
2006-12-01,3752.0,3731.0,3752.0,3731.0,343976
2006-12-04,3785.0,3749.0,3790.0,3749.0,355366
2006-12-05,3775.0,3780.0,3790.0,3768.0,827103
2006-12-06,3785.0,3804.0,3804.0,3760.0,331782
2006-12-07,3758.0,3781.0,3781.0,3743.0,271688
2006-12-08,3785.0,3754.0,3829.0,3731.0,990787
2006-12-11,3764.0,3782.0,3782.0,3754.0,308588
2006-12-12,3768.0,3752.0,3774.0,3752.0,622797
2006-12-13,3768.0,3764.0,3768.0,3752.0,1107728
2006-12-14,3768.0,3768.0,3768.0,3752.0,672070
2006-12-15,3752.0,3752.0,3774.0,3748.0,346904
2006-12-18,3741.0,3737.0,3751.0,3731.0,796183
2006-12-19,3724.0,3751.0,3751.0,3721.0,797429
2006-12-20,3724.0,3721.0,3735.0,3709.0,1893122
2006-12-21,3718.0,3725.0,3730.0,3709.0,707221
2006-12-22,3741.0,3704.0,3737.0,3698.0,718948
2006-12-26,3758.0,3748.0,3758.0,3721.0,366872
2006-12-27,3652.0,3662.0,3662.0,3635.0,164850
2006-12-28,3674.0,3643.0,3676.0,3643.0,194202
2007-01-02,3685.0,3622.0,3681.0,3622.0,328339
2007-01-03,3685.0,3685.0,3713.0,3669.0,433837
2007-01-04,3685.0,3681.0,3725.0,3669.0,993753
2007-01-05,3680.0,3680.0,3708.0,3665.0,603310
2007-01-08,3664.0,3677.0,3677.0,3654.0,513795
2007-01-09,3664.0,3677.0,3677.0,3654.0,636940
2007-01-10,3649.0,3659.0,3659.0,3644.0,3652005
2007-01-11,3649.0,3644.0,3653.0,3632.0,47985
2007-01-12,3674.0,3643.0,3676.0,3643.0,112841
2007-01-15,3702.0,3698.0,3708.0,3692.0,455140
2007-01-16,3702.0,3703.0,3708.0,3678.0,68279
