date,close,open,high,low,volume
2006-06-02,2394.0,2817.0,2888.0,2395.0,296364
2006-06-05,2036.0,2323.0,2358.0,2033.0,560388
2006-06-07,2176.0,2035.0,2338.0,2031.0,1908207
2006-06-08,1909.0,2176.0,2176.0,1851.0,770308
2006-06-09,1951.0,2033.0,2101.0,1935.0,453666
2006-06-12,1870.0,1937.0,1950.0,1867.0,432981
2006-06-13,1781.0,1833.0,1837.0,1770.0,291774
2006-06-14,1796.0,1749.0,1838.0,1749.0,403156
2006-06-15,2064.0,1838.0,2064.0,1831.0,1072234
2006-06-16,2102.0,2064.0,2168.0,2014.0,802765
2006-06-19,2025.0,2076.0,2104.0,2016.0,171598
2006-06-20,2095.0,2005.0,2093.0,1949.0,251015
2006-06-21,2409.0,2148.0,2409.0,2137.0,850553
2006-06-22,2313.0,2597.0,2597.0,2239.0,1043983
2006-06-23,2324.0,2310.0,2609.0,2253.0,1708740
2006-06-26,2200.0,2323.0,2387.0,2154.0,475269
2006-06-27,2215.0,2204.0,2239.0,2176.0,208147
2006-06-28,2134.0,2160.0,2206.0,2122.0,205866
2006-06-29,2236.0,2190.0,2313.0,2178.0,245419
2006-06-30,2274.0,2274.0,2288.0,2204.0,284023
2006-07-03,2289.0,2275.0,2323.0,2236.0,227027
2006-07-04,2186.0,2288.0,2309.0,2126.0,340451
2006-07-05,2134.0,2114.0,2160.0,2114.0,123314
2006-07-06,2082.0,2112.0,2132.0,2069.0,105974
2006-07-07,2112.0,2104.0,2154.0,2094.0,90410
2006-07-10,2148.0,2072.0,2146.0,2072.0,50100
2006-07-11,2120.0,2122.0,2143.0,2112.0,41197
2006-07-12,2112.0,2122.0,2147.0,2091.0,69380
2006-07-13,2082.0,2094.0,2119.0,2069.0,101521
2006-07-14,2014.0,2050.0,2064.0,1986.0,57200
2006-07-18,1944.0,2014.0,2014.0,1943.0,64720
2006-07-19,1929.0,1971.0,1999.0,1929.0,66611
2006-07-20,1973.0,1936.0,1981.0,1929.0,71926
2006-07-21,1929.0,1932.0,1971.0,1908.0,81397
2006-07-24,1898.0,1928.0,1928.0,1871.0,121013
2006-07-25,1919.0,1915.0,1930.0,1880.0,219294
2006-07-26,1912.0,1918.0,1918.0,1865.0,206160
2006-07-27,1880.0,1968.0,1968.0,1862.0,2045309
2006-07-28,1866.0,1858.0,1908.0,1856.0,393955
2006-07-31,1901.0,1880.0,1922.0,1869.0,953458
2006-08-01,1888.0,1901.0,1929.0,1876.0,157356
2006-08-02,1929.0,1872.0,1929.0,1872.0,104127
2006-08-03,1958.0,1929.0,2055.0,1929.0,442300
2006-08-04,2021.0,1970.0,2040.0,1942.0,277621
2006-08-07,1986.0,2037.0,2037.0,1974.0,171998
2006-08-08,1997.0,1975.0,2013.0,1975.0,104078
2006-08-09,1993.0,1993.0,1993.0,1972.0,99870
2006-08-10,2028.0,2011.0,2041.0,1972.0,124234
2006-08-11,2014.0,2028.0,2041.0,2006.0,90926
2006-08-14,2077.0,2013.0,2132.0,1993.0,186988
2006-08-16,2169.0,2111.0,2287.0,2062.0,575729
2006-08-17,2148.0,2203.0,2216.0,2132.0,301280
2006-08-18,2130.0,2147.0,2161.0,2115.0,251156
2006-08-21,2091.0,2161.0,2193.0,2091.0,205227
2006-08-22,2091.0,2063.0,2119.0,2063.0,136735
2006-08-23,2137.0,2091.0,2138.0,2091.0,94968
2006-08-24,2130.0,2141.0,2190.0,2080.0,158250
2006-08-25,2134.0,2132.0,2153.0,2118.0,75701
2006-08-28,2141.0,2127.0,2162.0,2115.0,113862
2006-08-29,2148.0,2142.0,2181.0,2136.0,72652
2006-08-30,2151.0,2165.0,2178.0,2137.0,109092
2006-08-31,2200.0,2150.0,2224.0,2147.0,205689
2006-09-01,2219.0,2185.0,2227.0,2177.0,106804
2006-09-04,2254.0,2216.0,2269.0,2216.0,109519
2006-09-05,2289.0,2268.0,2288.0,2204.0,191310
2006-09-06,2274.0,2270.0,2299.0,2250.0,171209
2006-09-07,2274.0,2252.0,2285.0,2239.0,69523
2006-09-08,2272.0,2294.0,2294.0,2245.0,63295
2006-09-11,2200.0,2274.0,2295.0,2200.0,72763
2006-09-12,2211.0,2208.0,2268.0,2197.0,33492
2006-09-13,2198.0,2189.0,2249.0,2189.0,56459
2006-09-14,2250.0,2218.0,2250.0,2194.0,271324
2006-09-15,2250.0,2253.0,2277.0,2229.0,79769
2006-09-18,2300.0,2247.0,2299.0,2232.0,343386
2006-09-19,2260.0,2288.0,2302.0,2259.0,128968
2006-09-20,2260.0,2241.0,2274.0,2232.0,76432
2006-09-21,2260.0,2264.0,2313.0,2252.0,91686
2006-09-22,2225.0,2246.0,2270.0,2217.0,72606
2006-09-25,2186.0,2200.0,2224.0,2182.0,265894
2006-09-26,2198.0,2211.0,2211.0,2182.0,131570
2006-09-27,2225.0,2182.0,2232.0,2182.0,34218
2006-09-28,2250.0,2201.0,2253.0,2190.0,114030
2006-09-29,2257.0,2220.0,2259.0,2220.0,91530
2006-10-02,2257.0,2251.0,2255.0,2195.0,50007
2006-10-04,2211.0,2229.0,2242.0,2194.0,36204
2006-10-09,2112.0,2182.0,2190.0,2023.0,510550
2006-10-10,2141.0,2041.0,2155.0,2041.0,37993
2006-10-11,2085.0,2063.0,2132.0,2063.0,17900
2006-10-12,2095.0,2076.0,2125.0,2076.0,37240
2006-10-13,2176.0,2120.0,2190.0,2113.0,123101
2006-10-16,2211.0,2176.0,2239.0,2168.0,155110
2006-10-17,2225.0,2241.0,2241.0,2182.0,186760
2006-10-18,2191.0,2225.0,2225.0,2183.0,16560
2006-10-19,2239.0,2186.0,2252.0,2176.0,137834
2006-10-20,2219.0,2255.0,2263.0,2214.0,48363
2006-10-23,2243.0,2206.0,2251.0,2195.0,131383
2006-10-24,2204.0,2228.0,2252.0,2176.0,67800
2006-10-25,2191.0,2176.0,2208.0,2168.0,8840
2006-10-26,2204.0,2182.0,2217.0,2150.0,75020
2006-10-27,2191.0,2186.0,2212.0,2162.0,10323
2006-10-30,2191.0,2168.0,2190.0,2144.0,50320
2006-10-31,2215.0,2165.0,2214.0,2151.0,42640
2006-11-01,2209.0,2214.0,2235.0,2168.0,15777
2006-11-02,2183.0,2216.0,2216.0,2160.0,47250
2006-11-03,2222.0,2175.0,2223.0,2167.0,115884
2006-11-06,2236.0,2182.0,2235.0,2182.0,96926
2006-11-07,2250.0,2236.0,2299.0,2212.0,56190
2006-11-08,2239.0,2241.0,2288.0,2214.0,23720
2006-11-09,2222.0,2203.0,2238.0,2203.0,291518
2006-11-10,2204.0,2211.0,2221.0,2182.0,37410
2006-11-13,2204.0,2186.0,2217.0,2182.0,154995
2006-11-14,2211.0,2204.0,2288.0,2173.0,221321
2006-11-15,2211.0,2201.0,2212.0,2186.0,115350
2006-11-16,2180.0,2189.0,2207.0,2158.0,124110
2006-11-17,2209.0,2182.0,2217.0,2175.0,89303
2006-11-20,2183.0,2181.0,2203.0,2164.0,82283
2006-11-21,2127.0,2207.0,2207.0,2119.0,47774
2006-11-22,2120.0,2154.0,2154.0,2112.0,72901
2006-11-23,2109.0,2114.0,2125.0,2076.0,95950
2006-11-24,2112.0,2087.0,2132.0,2087.0,67708
2006-11-27,2071.0,2098.0,2098.0,2055.0,74597
2006-11-28,2053.0,2053.0,2064.0,2041.0,48713
2006-11-29,2056.0,2038.0,2087.0,2038.0,123070
2006-11-30,2074.0,2048.0,2083.0,2048.0,7115
2006-12-01,2064.0,2074.0,2077.0,2056.0,32880
2006-12-04,2056.0,2067.0,2108.0,2049.0,168440
2006-12-05,2056.0,2056.0,2073.0,2049.0,28740
2006-12-06,2060.0,2055.0,2058.0,2040.0,38940
2006-12-07,2046.0,2027.0,2059.0,2027.0,23890
