date,close,open,high,low,volume
2006-07-31,9060.0,7875.0,9060.0,7855.0,553819
2006-08-01,8065.0,9599.0,10278.0,8025.0,1553929
2006-08-02,7620.0,8349.0,8409.0,7510.0,361333
2006-08-03,7155.0,7725.0,7795.0,7070.0,291592
2006-08-04,7340.0,7100.0,7799.0,7100.0,570643
2006-08-07,7120.0,7395.0,7540.0,7115.0,204533
2006-08-08,6815.0,7035.0,7115.0,6815.0,232348
2006-08-09,6885.0,6800.0,7080.0,6710.0,215315
2006-08-10,6615.0,6889.0,6899.0,6400.0,218975
2006-08-11,6475.0,6654.0,6654.0,6420.0,133893
2006-08-14,6590.0,6505.0,6819.0,6445.0,226436
2006-08-16,6590.0,6689.0,6794.0,6455.0,179323
2006-08-17,6485.0,6634.0,6704.0,6480.0,128980
2006-08-18,6840.0,6545.0,6920.0,6545.0,303030
2006-08-21,6850.0,7220.0,7340.0,6745.0,286319
2006-08-22,6875.0,6860.0,7060.0,6685.0,307075
2006-08-23,6965.0,7004.0,7264.0,6845.0,369980
2006-08-24,6920.0,7045.0,7105.0,6895.0,120753
2006-08-25,6895.0,6914.0,7004.0,6880.0,114013
2006-08-28,6685.0,6889.0,6959.0,6655.0,128311
2006-08-29,6710.0,6685.0,6815.0,6640.0,145115
2006-08-30,6710.0,6825.0,6895.0,6605.0,100994
2006-08-31,6990.0,6780.0,7010.0,6780.0,230970
2006-09-01,7595.0,7100.0,7904.0,7005.0,441393
2006-09-04,7690.0,7814.0,8059.0,7545.0,397094
2006-09-05,8090.0,7715.0,8085.0,7525.0,371542
2006-09-06,7740.0,8085.0,8085.0,7735.0,262888
2006-09-07,7505.0,7690.0,8050.0,7505.0,517104
2006-09-08,7595.0,7450.0,7779.0,7380.0,205031
2006-09-11,7365.0,7595.0,7830.0,7360.0,223429
2006-09-12,7210.0,7354.0,7379.0,7135.0,144053
2006-09-13,7155.0,7360.0,7435.0,7140.0,152442
2006-09-14,7245.0,7145.0,7334.0,7065.0,194639
2006-09-15,7610.0,7435.0,7820.0,7410.0,389798
2006-09-18,7445.0,7614.0,7614.0,7390.0,253836
2006-09-19,7525.0,7500.0,7624.0,7415.0,189215
2006-09-20,7595.0,7545.0,7659.0,7430.0,243311
2006-09-21,7785.0,7700.0,7960.0,7645.0,369672
2006-09-22,7525.0,7729.0,7729.0,7510.0,171650
2006-09-25,7705.0,7470.0,7785.0,7455.0,162996
2006-09-26,7410.0,7694.0,7869.0,7380.0,226348
2006-09-27,7105.0,7474.0,7544.0,7100.0,151305
2006-09-28,7000.0,7089.0,7239.0,6820.0,280201
2006-09-29,7175.0,7090.0,7170.0,6900.0,115582
2006-10-02,7130.0,7130.0,7270.0,7080.0,105388
2006-10-04,6805.0,7060.0,7105.0,6755.0,134326
2006-10-09,5785.0,6774.0,6794.0,5780.0,386711
2006-10-10,5985.0,5775.0,6040.0,5665.0,154629
2006-10-11,5985.0,5735.0,6040.0,5700.0,156593
2006-10-12,6195.0,5985.0,6300.0,5925.0,127413
2006-10-13,6230.0,6415.0,6415.0,6180.0,96406
2006-10-16,6685.0,6245.0,6794.0,6225.0,183370
2006-10-17,6745.0,6765.0,6920.0,6460.0,251640
2006-10-18,6875.0,6745.0,6870.0,6520.0,151910
2006-10-19,7060.0,6895.0,7760.0,6780.0,1089924
2006-10-20,8110.0,6985.0,8105.0,6985.0,1466827
2006-10-23,8005.0,8504.0,8979.0,7815.0,1623294
2006-10-24,8125.0,8085.0,8265.0,7855.0,569837
2006-10-25,8345.0,8115.0,8549.0,7955.0,887982
2006-10-26,8415.0,8410.0,8874.0,8295.0,742264
2006-10-27,8030.0,8524.0,8524.0,7955.0,363013
2006-10-30,7365.0,7925.0,7945.0,7360.0,275423
2006-10-31,8145.0,7355.0,8294.0,7355.0,683347
2006-11-01,8145.0,8409.0,8539.0,8080.0,292876
2006-11-02,8265.0,8390.0,8405.0,8155.0,213878
2006-11-03,8020.0,8180.0,8320.0,7995.0,166483
2006-11-06,8170.0,8010.0,8165.0,7765.0,159750
2006-11-07,8790.0,8250.0,9235.0,8230.0,1292193
2006-11-08,8975.0,8855.0,9054.0,8515.0,451098
2006-11-09,9115.0,9065.0,9214.0,8970.0,344018
2006-11-10,9305.0,8975.0,9410.0,8975.0,502671
2006-11-13,9245.0,9299.0,9529.0,9055.0,243483
2006-11-14,9365.0,9350.0,9584.0,9175.0,317041
2006-11-15,9070.0,9414.0,9579.0,9065.0,234484
2006-11-16,8955.0,9010.0,9105.0,8880.0,197884
2006-11-17,9130.0,8950.0,9200.0,8950.0,120815
2006-11-20,9245.0,9145.0,9389.0,9145.0,137376
2006-11-21,9350.0,9250.0,9519.0,9230.0,180806
2006-11-22,9980.0,9415.0,10374.0,9345.0,826911
2006-11-23,9935.0,10094.0,10209.0,9790.0,244060
2006-11-24,9680.0,9830.0,9840.0,9515.0,289566
2006-11-27,9925.0,9640.0,10004.0,9620.0,172810
2006-11-28,9855.0,9910.0,10074.0,9665.0,213136
2006-11-29,10195.0,9890.0,10390.0,9890.0,343065
2006-11-30,10380.0,10240.0,10670.0,9960.0,509100
2006-12-01,10635.0,10535.0,10934.0,10445.0,407855
2006-12-04,10545.0,10575.0,10825.0,10415.0,157447
2006-12-05,10335.0,10485.0,10680.0,10285.0,250081
2006-12-06,10005.0,10164.0,10419.0,9895.0,228922
