date,close,open,high,low,volume
2007-10-18,4503.0,5292.0,5353.0,4502.0,182979
2007-10-19,4781.0,4502.0,5171.0,4255.0,57671
2007-10-22,4399.0,4381.0,4598.0,4338.0,12734
2007-10-23,4425.0,4494.0,4667.0,4338.0,9980
2007-10-24,4295.0,4563.0,4563.0,4294.0,10367
2007-10-25,4312.0,4294.0,4450.0,4294.0,3575
2007-10-26,4329.0,4320.0,4338.0,4173.0,9550
2007-10-29,4299.0,4303.0,4364.0,4186.0,3458
2007-10-30,4477.0,4338.0,4555.0,4255.0,11406
2007-10-31,4468.0,4476.0,4476.0,4364.0,5759
2007-11-01,4338.0,4381.0,4511.0,4255.0,9500
2007-11-02,4334.0,4338.0,4424.0,4190.0,7814
2007-11-05,4451.0,4316.0,4494.0,4316.0,10150
2007-11-06,4451.0,4268.0,4450.0,4268.0,3633
2007-11-07,4269.0,4364.0,4450.0,4268.0,9703
2007-11-08,4308.0,4242.0,4338.0,4099.0,3380
2007-11-09,4165.0,4307.0,4338.0,4129.0,1750
2007-11-12,4143.0,4142.0,4160.0,4077.0,2710
2007-11-13,4078.0,4142.0,4277.0,4077.0,1606
2007-11-14,4017.0,4086.0,4164.0,3999.0,2908
2007-11-15,3870.0,4017.0,4017.0,3791.0,10600
2007-11-16,3987.0,3986.0,3986.0,3730.0,8110
2007-11-19,3392.0,3752.0,3860.0,3392.0,82354
2007-11-20,3219.0,3262.0,3440.0,3192.0,45497
2007-11-21,3219.0,3192.0,3340.0,3184.0,15028
2007-11-22,3210.0,3123.0,3279.0,3114.0,13461
2007-11-23,3115.0,3214.0,3214.0,3054.0,8409
2007-11-26,3219.0,3275.0,3275.0,2997.0,3650
2007-11-27,3358.0,3292.0,3435.0,3236.0,9930
2007-11-28,3388.0,3409.0,3487.0,3366.0,7771
2007-11-29,3540.0,3388.0,3565.0,3388.0,2510
2007-11-30,3453.0,3513.0,3617.0,3453.0,3946
2007-12-03,3557.0,3453.0,3644.0,3453.0,10200
2007-12-04,3557.0,3557.0,3678.0,3496.0,2603
2007-12-05,3557.0,3522.0,3644.0,3522.0,5116
2007-12-06,3592.0,3522.0,3596.0,3522.0,4283
2007-12-07,3575.0,3644.0,3644.0,3479.0,2130
2007-12-10,3431.0,3574.0,3574.0,3401.0,3284
2007-12-11,3427.0,3401.0,3427.0,3340.0,2558
2007-12-12,3297.0,3427.0,3427.0,3288.0,1999
2007-12-13,3340.0,3253.0,3357.0,3214.0,1691
2007-12-14,3449.0,3288.0,3448.0,3288.0,1961
2007-12-17,3501.0,3279.0,3635.0,3270.0,3551
2007-12-18,3388.0,3470.0,3470.0,3301.0,10921
2007-12-20,3388.0,3388.0,3539.0,3314.0,2528
2007-12-21,3462.0,3296.0,3466.0,3296.0,1790
2007-12-24,3497.0,3461.0,3539.0,3461.0,2236
2007-12-26,3384.0,3470.0,3470.0,3314.0,2490
2007-12-27,3462.0,3392.0,3466.0,3392.0,2120
2007-12-28,3475.0,3327.0,3539.0,3327.0,2350
2008-01-02,3470.0,3470.0,3548.0,3470.0,4070
2008-01-03,3557.0,3774.0,3774.0,3505.0,770
2008-01-04,3557.0,3557.0,3557.0,3453.0,4180
2008-01-07,3549.0,3600.0,3600.0,3427.0,820
2008-01-08,3310.0,3539.0,3539.0,3309.0,9365
2008-01-09,3410.0,3309.0,3409.0,3188.0,7424
2008-01-10,3210.0,3383.0,3383.0,3192.0,12504
2008-01-11,3215.0,3262.0,3296.0,3184.0,4870
2008-01-14,3202.0,3214.0,3249.0,3071.0,3931
2008-01-15,3202.0,3067.0,3201.0,3058.0,3770
2008-01-16,3123.0,3080.0,3179.0,3080.0,1400
2008-01-17,2972.0,3088.0,3123.0,2828.0,13572
2008-01-18,2993.0,2906.0,3019.0,2906.0,740
2008-01-21,2776.0,3028.0,3028.0,2776.0,6360
2008-01-22,2586.0,2628.0,2650.0,2394.0,9949
2008-01-23,2603.0,2767.0,2767.0,2381.0,12990
2008-01-24,2677.0,2611.0,2689.0,2602.0,1780
2008-01-25,2733.0,2676.0,2733.0,2429.0,5110
2008-01-28,2733.0,2763.0,2763.0,2663.0,3850
2008-01-29,2837.0,2689.0,2837.0,2689.0,5830
2008-01-30,2815.0,2837.0,2863.0,2737.0,4700
2008-01-31,2837.0,2698.0,2837.0,2689.0,5850
2008-02-01,2950.0,2811.0,2949.0,2793.0,6550
2008-02-04,3241.0,2967.0,3240.0,2967.0,10290
2008-02-05,3254.0,3257.0,3257.0,3192.0,2950
2008-02-11,3193.0,3249.0,3249.0,3136.0,1660
2008-02-12,3193.0,3236.0,3236.0,3123.0,841
2008-02-13,3288.0,3292.0,3296.0,3145.0,3250
2008-02-14,3349.0,3288.0,3379.0,3227.0,3280
2008-02-15,3245.0,3349.0,3349.0,3166.0,5350
2008-02-18,3158.0,3236.0,3236.0,3036.0,4770
2008-02-19,3063.0,3114.0,3197.0,2993.0,7185
2008-02-20,3006.0,3001.0,3075.0,3001.0,1670
2008-02-21,3084.0,2949.0,3084.0,2949.0,2040
2008-02-22,3071.0,3136.0,3136.0,3041.0,1811
2008-02-25,3176.0,3123.0,3375.0,3088.0,38458
2008-02-26,3184.0,3188.0,3244.0,3097.0,5720
2008-02-27,3063.0,3188.0,3188.0,3062.0,5318
2008-02-28,3189.0,2997.0,3188.0,2997.0,4610
2008-02-29,3245.0,3188.0,3244.0,3097.0,7922
2008-03-03,3254.0,3236.0,3257.0,3192.0,3511
2008-03-04,3470.0,3296.0,3470.0,3279.0,13631
2008-03-05,3470.0,3470.0,3496.0,3405.0,2303
2008-03-06,3453.0,3470.0,3470.0,3409.0,2770
2008-03-07,3384.0,3405.0,3470.0,3340.0,1380
2008-03-10,3210.0,3344.0,3370.0,3166.0,4000
2008-03-11,3293.0,3210.0,3366.0,3210.0,8090
2008-03-12,3340.0,3305.0,3375.0,3275.0,19460
2008-03-13,3384.0,3383.0,3396.0,3296.0,12150
2008-03-14,3492.0,3427.0,3539.0,3383.0,23510
2008-03-17,3336.0,3453.0,3453.0,3210.0,10640
2008-03-18,3297.0,3305.0,3344.0,3166.0,9701
2008-03-19,3314.0,3370.0,3370.0,3236.0,12840
2008-03-20,3193.0,3309.0,3309.0,3036.0,11746
2008-03-21,3119.0,3192.0,3210.0,3106.0,6070
2008-03-24,3115.0,3192.0,3192.0,2967.0,15040
2008-03-25,3119.0,3045.0,3192.0,3045.0,3295
2008-03-26,3149.0,3088.0,3149.0,3036.0,3040
2008-03-27,3202.0,3149.0,3210.0,3088.0,4320
2008-03-28,3167.0,3097.0,3171.0,3067.0,4120
2008-03-31,3206.0,3123.0,3205.0,3054.0,5446
2008-04-01,3162.0,3223.0,3223.0,3140.0,2000
2008-04-02,3206.0,3162.0,3244.0,3162.0,4520
2008-04-03,3249.0,3166.0,3249.0,3166.0,10860
2008-04-04,3258.0,3197.0,3257.0,3197.0,4540
2008-04-07,3314.0,3296.0,3336.0,3253.0,14710
2008-04-08,3314.0,3340.0,3340.0,3257.0,880
2008-04-10,3310.0,3322.0,3322.0,3218.0,4760
2008-04-11,3288.0,3266.0,3296.0,3244.0,6165
2008-04-14,3262.0,3275.0,3275.0,3175.0,4260
2008-04-15,3332.0,3270.0,3331.0,3210.0,7106
2008-04-16,3332.0,3296.0,3340.0,3296.0,7970
2008-04-17,3340.0,3366.0,3366.0,3253.0,4928
2008-04-18,3327.0,3301.0,3327.0,3262.0,5920
2008-04-21,3384.0,3340.0,3409.0,3340.0,13510
2008-04-22,3410.0,3461.0,3461.0,3383.0,13280
2008-04-23,3700.0,3508.0,3917.0,3505.0,10800
2008-04-24,3687.0,3730.0,3730.0,3644.0,6050
2008-04-25,3765.0,3713.0,3817.0,3644.0,9971
2008-04-28,3765.0,3765.0,3765.0,3765.0,0
2008-04-29,3765.0,3765.0,3765.0,3765.0,0
2008-04-30,3765.0,3765.0,3765.0,3765.0,0
2008-05-02,3765.0,3765.0,3765.0,3765.0,0
2008-05-06,3765.0,3765.0,3765.0,3765.0,0
2008-05-07,3765.0,3765.0,3765.0,3765.0,0
2008-05-08,3765.0,3765.0,3765.0,3765.0,0
2008-05-09,3765.0,3765.0,3765.0,3765.0,0
2008-05-13,3765.0,3765.0,3765.0,3765.0,0
2008-05-14,4329.0,4069.0,4329.0,4017.0,2336480
2008-05-15,4321.0,4416.0,4546.0,4012.0,1198997
2008-05-16,4251.0,4320.0,4338.0,4095.0,292810
2008-05-19,4121.0,4164.0,4303.0,4077.0,314097
2008-05-20,4104.0,4077.0,4173.0,3904.0,204794
2008-05-21,4442.0,4160.0,4555.0,4103.0,1051410
2008-05-22,4572.0,4485.0,4572.0,4355.0,430998
2008-05-23,4564.0,4685.0,4685.0,4450.0,215131
2008-05-26,4442.0,4476.0,4537.0,4390.0,158925
2008-05-27,4711.0,4398.0,4711.0,4381.0,293094
2008-05-28,4711.0,4771.0,4815.0,4563.0,373668
2008-05-29,5015.0,4728.0,5092.0,4659.0,602626
2008-05-30,5058.0,4962.0,5066.0,4919.0,365478
2008-06-02,4815.0,5049.0,5049.0,4815.0,208998
2008-06-03,4598.0,4789.0,4789.0,4511.0,277971
2008-06-04,4859.0,4563.0,4902.0,4555.0,317831
2008-06-05,4867.0,4858.0,5032.0,4780.0,207479
2008-06-09,4980.0,4754.0,4980.0,4442.0,209024
2008-06-10,4893.0,4980.0,5032.0,4607.0,128390
2008-06-11,4789.0,4823.0,4945.0,4745.0,159127
2008-06-12,4789.0,4693.0,4789.0,4624.0,140570
2008-06-13,4824.0,4771.0,4832.0,4633.0,177614
2008-06-16,4650.0,4823.0,4841.0,4650.0,103487
2008-06-17,4841.0,4607.0,4841.0,4555.0,258239
2008-06-18,4945.0,4815.0,5075.0,4771.0,365631
2008-06-19,4919.0,4945.0,5014.0,4884.0,221460
2008-06-20,4989.0,4902.0,5092.0,4876.0,267230
2008-06-23,4989.0,4945.0,4988.0,4815.0,198943
2008-06-24,4911.0,4902.0,4980.0,4815.0,131650
2008-06-25,4919.0,4910.0,4988.0,4745.0,211418
2008-06-26,4772.0,4928.0,4971.0,4728.0,238507
2008-06-27,4598.0,4607.0,4676.0,4563.0,111277
2008-06-30,4555.0,4520.0,4667.0,4450.0,73552
2008-07-01,4416.0,4598.0,4598.0,4129.0,339578
2008-07-02,4060.0,4633.0,4641.0,3847.0,393993
2008-07-03,3861.0,3947.0,3947.0,3774.0,166819
2008-07-04,3896.0,4017.0,4017.0,3882.0,66444
2008-07-07,3648.0,3687.0,3843.0,3648.0,166200
2008-07-08,3661.0,3574.0,3735.0,3275.0,195220
2008-07-09,3592.0,3808.0,3808.0,3453.0,147152
2008-07-10,3904.0,3392.0,3930.0,3392.0,157842
2008-07-11,4026.0,3843.0,4043.0,3782.0,157967
2008-07-14,4026.0,3982.0,4038.0,3930.0,35482
2008-07-15,3818.0,3947.0,3960.0,3787.0,132275
2008-07-16,3861.0,3973.0,3973.0,3670.0,57180
2008-07-17,3870.0,3947.0,3991.0,3800.0,73598
2008-07-18,3796.0,4008.0,4008.0,3717.0,88660
2008-07-21,3904.0,3743.0,3904.0,3743.0,66910
2008-07-22,3904.0,3939.0,3939.0,3748.0,33190
2008-07-23,3844.0,3986.0,3986.0,3808.0,161919
2008-07-24,3809.0,3843.0,3856.0,3644.0,117280
2008-07-25,4034.0,3817.0,4073.0,3657.0,183650
2008-07-28,4338.0,4155.0,4338.0,4095.0,260926
2008-07-29,4373.0,4251.0,4372.0,4177.0,92721
2008-07-30,4399.0,4459.0,4520.0,4294.0,87599
2008-07-31,4416.0,4511.0,4511.0,4164.0,75421
2008-08-01,4381.0,4307.0,4424.0,4251.0,51872
2008-08-04,4381.0,4381.0,4381.0,4251.0,33253
2008-08-05,4381.0,4303.0,4407.0,4303.0,47862
2008-08-06,4451.0,4494.0,4494.0,4381.0,57380
2008-08-07,4442.0,4450.0,4494.0,4381.0,21780
2008-08-08,4425.0,4260.0,4476.0,4260.0,24690
