date,close,open,high,low,volume
2007-07-25,166779.0,157431.0,167270.0,152511.0,2900279
2007-07-26,147592.0,165303.0,166778.0,147592.0,2166814
2007-07-27,145624.0,144640.0,156447.0,136768.0,1225246
2007-07-30,154972.0,142672.0,154972.0,142672.0,580347
2007-07-31,154480.0,152512.0,156447.0,150052.0,374713
2007-08-01,145132.0,150543.0,152511.0,143656.0,408186
2007-08-02,140705.0,147592.0,148576.0,136769.0,471341
2007-08-03,134801.0,143656.0,143656.0,134801.0,696139
2007-08-06,135293.0,132833.0,138244.0,130372.0,440165
2007-08-07,130373.0,138244.0,139228.0,130373.0,464571
2007-08-08,133817.0,131849.0,135784.0,130865.0,467127
2007-08-09,133325.0,135784.0,139720.0,132341.0,508052
2007-08-10,126437.0,128896.0,129880.0,125945.0,453868
2007-08-13,129881.0,127913.0,131356.0,125453.0,546416
2007-08-14,118566.0,129389.0,129881.0,118566.0,504443
2007-08-16,109710.0,112169.0,117089.0,109710.0,814077
2007-08-17,110202.0,111677.0,116105.0,108726.0,414733
2007-08-20,122993.0,117089.0,122992.0,115121.0,577470
2007-08-21,125945.0,122009.0,125945.0,119057.0,362462
2007-08-22,122010.0,124961.0,125945.0,120534.0,617967
2007-08-23,127913.0,125945.0,128404.0,123977.0,442550
2007-08-24,131849.0,130373.0,134800.0,129881.0,536069
2007-08-27,133817.0,139720.0,142180.0,132833.0,527874
2007-08-28,133817.0,135784.0,136768.0,130865.0,470881
2007-08-29,127913.0,126437.0,129880.0,126437.0,664107
2007-08-30,128897.0,130372.0,131356.0,126437.0,567095
2007-08-31,126437.0,127912.0,128404.0,124961.0,436102
2007-09-03,142673.0,127421.0,142673.0,126437.0,687361
2007-09-04,138737.0,139720.0,144640.0,138245.0,458581
2007-09-05,139721.0,141196.0,141688.0,135785.0,464058
2007-09-06,148084.0,137752.0,148575.0,136276.0,747703
2007-09-07,155464.0,152512.0,156447.0,149560.0,1037371
2007-09-10,154480.0,151036.0,156939.0,149560.0,562347
2007-09-11,153496.0,154971.0,157431.0,152512.0,484814
2007-09-12,154972.0,156447.0,156447.0,153496.0,601388
2007-09-13,160876.0,156940.0,160876.0,152512.0,1105024
2007-09-14,156448.0,159891.0,160383.0,156448.0,652922
2007-09-17,154480.0,156447.0,157923.0,150544.0,434160
2007-09-18,146116.0,157431.0,157431.0,146116.0,283444
