date,close,open,high,low,volume
2008-02-15,1945.0,2150.0,2255.0,1835.0,2614452
2008-02-18,1945.0,1870.0,2045.0,1840.0,637526
2008-02-19,1930.0,1985.0,2055.0,1900.0,299593
2008-02-20,1900.0,1925.0,2000.0,1895.0,177177
2008-02-21,2185.0,1935.0,2185.0,1895.0,1147259
2008-02-22,2460.0,2510.0,2510.0,2190.0,4630285
2008-02-25,2400.0,2490.0,2775.0,2320.0,3301685
2008-02-26,2300.0,2400.0,2500.0,2275.0,1026911
2008-02-27,2465.0,2290.0,2550.0,2290.0,1380831
2008-02-28,2415.0,2500.0,2645.0,2380.0,1506095
2008-02-29,2290.0,2430.0,2455.0,2290.0,503908
2008-03-03,2170.0,2270.0,2270.0,2125.0,378795
2008-03-04,2100.0,2170.0,2210.0,2060.0,332814
2008-03-05,2080.0,2130.0,2130.0,2080.0,274170
2008-03-06,2390.0,2110.0,2390.0,2100.0,1179080
2008-03-07,2240.0,2430.0,2590.0,2200.0,3376803
2008-03-10,2100.0,2220.0,2275.0,2085.0,568160
2008-03-11,2175.0,2130.0,2230.0,2060.0,284663
2008-03-12,2170.0,2185.0,2245.0,2170.0,230707
2008-03-13,2155.0,2175.0,2205.0,2150.0,148419
2008-03-14,2115.0,2170.0,2205.0,2090.0,179227
2008-03-17,2060.0,2100.0,2150.0,2045.0,228760
2008-03-18,2060.0,2060.0,2100.0,2055.0,113852
2008-03-19,2090.0,2180.0,2180.0,2060.0,98443
2008-03-20,2155.0,2060.0,2325.0,2060.0,567423
2008-03-21,2050.0,2155.0,2195.0,2050.0,309247
2008-03-24,2050.0,2060.0,2100.0,2040.0,198349
2008-03-25,2120.0,2340.0,2340.0,2120.0,444816
2008-03-26,2050.0,2120.0,2120.0,2040.0,229520
2008-03-27,2035.0,2055.0,2085.0,2015.0,144093
2008-03-28,2070.0,2035.0,2250.0,2035.0,207789
2008-03-31,2070.0,2070.0,2125.0,2055.0,90176
2008-04-01,2060.0,2075.0,2095.0,2060.0,134744
2008-04-02,2060.0,2100.0,2105.0,2060.0,113047
2008-04-03,2050.0,2060.0,2085.0,2045.0,173728
2008-04-04,2055.0,2050.0,2115.0,2045.0,186550
2008-04-07,2050.0,2055.0,2075.0,2035.0,105509
2008-04-08,2055.0,2085.0,2250.0,2045.0,822567
2008-04-10,2060.0,2060.0,2100.0,2050.0,139307
2008-04-11,2090.0,2100.0,2130.0,2065.0,174258
2008-04-14,2075.0,2100.0,2110.0,2070.0,161812
2008-04-15,2070.0,2070.0,2080.0,2060.0,205402
2008-04-16,2060.0,2065.0,2080.0,2050.0,206986
2008-04-17,2030.0,2060.0,2070.0,2030.0,303920
2008-04-18,2020.0,2035.0,2050.0,2010.0,163291
2008-04-21,2010.0,2030.0,2050.0,2010.0,139917
2008-04-22,2000.0,2010.0,2030.0,1985.0,210623
2008-04-23,1975.0,1990.0,1995.0,1955.0,153008
2008-04-24,1945.0,1950.0,2000.0,1935.0,142438
2008-04-25,1955.0,1945.0,2015.0,1940.0,120142
2008-04-28,1975.0,1960.0,1985.0,1950.0,101851
2008-04-29,1895.0,1955.0,1970.0,1895.0,119198
2008-04-30,1900.0,1900.0,1910.0,1865.0,132942
2008-05-02,2030.0,1900.0,2070.0,1900.0,268790
2008-05-06,2050.0,2075.0,2180.0,1985.0,281381
2008-05-07,2010.0,2020.0,2035.0,1995.0,127843
2008-05-08,2040.0,2070.0,2075.0,2010.0,201450
2008-05-09,2060.0,2080.0,2245.0,2050.0,532410
2008-05-13,1980.0,2045.0,2060.0,1955.0,222585
2008-05-14,1985.0,2020.0,2020.0,1970.0,176040
2008-05-15,1965.0,1995.0,2005.0,1960.0,104012
2008-05-16,1935.0,1965.0,2000.0,1910.0,101611
