date,close,open,high,low,volume
2008-10-10,45940.0,47063.0,47063.0,40026.0,13011873
2008-10-13,49556.0,47063.0,50338.0,45500.0,3180584
2008-10-14,51902.0,52781.0,54736.0,50631.0,3957562
2008-10-15,49850.0,49067.0,50142.0,48578.0,2852067
2008-10-16,42421.0,44620.0,44913.0,42421.0,3941080
2008-10-17,37143.0,42421.0,42763.0,36654.0,6071281
2008-10-20,38169.0,38315.0,38902.0,36214.0,4891375
2008-10-21,38316.0,39000.0,40075.0,38315.0,3814524
2008-10-22,37632.0,37142.0,40075.0,35187.0,3637689
2008-10-23,35970.0,34357.0,36556.0,34308.0,2939595
2008-10-24,35970.0,35627.0,36312.0,32548.0,3723953
2008-10-27,39098.0,35969.0,39097.0,34210.0,3814598
2008-10-28,36752.0,37142.0,37436.0,35676.0,5146031
2008-10-29,31278.0,37924.0,38462.0,31278.0,6732755
2008-10-30,34211.0,33233.0,35481.0,27563.0,12349827
2008-10-31,31278.0,32304.0,35383.0,30447.0,9757610
2008-11-03,32305.0,30300.0,32988.0,29860.0,7353871
2008-11-04,34992.0,32744.0,35139.0,32646.0,6349729
2008-11-05,35677.0,36214.0,37827.0,34943.0,6054715
2008-11-06,30398.0,33330.0,33428.0,30398.0,4742697
2008-11-07,31229.0,28834.0,32255.0,28736.0,3990183
2008-11-10,32842.0,31327.0,33428.0,30838.0,3134325
2008-11-11,31962.0,31962.0,32793.0,31327.0,2145736
2008-11-12,31376.0,30984.0,32157.0,30789.0,2086887
2008-11-13,29763.0,29567.0,29763.0,27661.0,3989665
2008-11-14,31425.0,31278.0,31424.0,30545.0,2490904
2008-11-17,31669.0,30838.0,33575.0,29616.0,3997608
2008-11-18,29421.0,30838.0,31180.0,29421.0,2695714
2008-11-19,28199.0,29665.0,29763.0,28101.0,2358039
2008-11-20,23996.0,26390.0,26781.0,23996.0,4343141
2008-11-21,24436.0,22578.0,26537.0,21161.0,6871915
2008-11-24,22286.0,24338.0,24680.0,22187.0,3863412
2008-11-25,23459.0,23800.0,24631.0,22530.0,4784197
2008-11-26,26977.0,23751.0,26977.0,23751.0,6209375
2008-11-27,29323.0,28443.0,30740.0,27661.0,5465873
2008-11-28,29519.0,29812.0,30593.0,28736.0,3265847
2008-12-01,28346.0,29665.0,29714.0,28199.0,1873968
2008-12-02,27368.0,25804.0,28639.0,25804.0,3566354
2008-12-03,28639.0,28394.0,28932.0,27563.0,2624490
2008-12-04,28541.0,29665.0,30447.0,27759.0,2155312
2008-12-05,29763.0,28345.0,29958.0,28296.0,2119075
2008-12-08,32256.0,29909.0,33233.0,29616.0,2978142
2008-12-09,32451.0,32548.0,32744.0,30838.0,2519727
2008-12-10,34699.0,32744.0,35334.0,32744.0,3742748
2008-12-11,35872.0,35090.0,38120.0,34015.0,5781519
2008-12-12,30545.0,33037.0,33184.0,30545.0,20228685
2008-12-15,32256.0,31766.0,32695.0,31571.0,3502425
2008-12-16,33380.0,31718.0,34015.0,31131.0,3392676
2008-12-17,35432.0,35334.0,36067.0,34210.0,4463444
2008-12-18,35432.0,36165.0,37191.0,34601.0,3033457
2008-12-19,34992.0,36165.0,36751.0,34503.0,2328636
2008-12-22,35726.0,35383.0,35725.0,34503.0,13941912
2008-12-23,33771.0,34699.0,35383.0,32988.0,1966666
2008-12-24,32256.0,32988.0,34015.0,30887.0,1817485
2008-12-26,33380.0,32695.0,33819.0,31913.0,2852716
2008-12-29,33722.0,33184.0,33721.0,31522.0,1020662
2008-12-30,33700.0,34500.0,35200.0,33550.0,1426548
2009-01-02,33135.0,32890.0,33575.0,31131.0,2222075
2009-01-05,37925.0,35187.0,38071.0,34308.0,4263028
2009-01-06,39098.0,38120.0,39390.0,38071.0,3407112
2009-01-07,39195.0,39048.0,40075.0,38315.0,3646287
2009-01-08,37338.0,38609.0,38706.0,36751.0,3267917
2009-01-09,36165.0,37680.0,38609.0,36165.0,2957691
2009-01-12,34797.0,35823.0,35823.0,34699.0,1777159
2009-01-13,36019.0,34454.0,36507.0,33721.0,2209265
2009-01-14,37876.0,36556.0,37875.0,35578.0,2141141
2009-01-15,34406.0,35676.0,35969.0,34406.0,3414864
2009-01-16,34553.0,34063.0,34699.0,32451.0,3637116
2009-01-19,34797.0,34699.0,35578.0,34650.0,1725577
2009-01-20,32940.0,33428.0,33770.0,32793.0,2527499
2009-01-21,31376.0,31278.0,32206.0,30545.0,2786284
2009-01-22,32695.0,33721.0,33721.0,32304.0,2646045
2009-01-23,31180.0,31522.0,32060.0,30887.0,1730122
2009-01-28,34602.0,32255.0,34748.0,32255.0,2739936
2009-01-29,35970.0,36263.0,36556.0,35481.0,2766127
2009-01-30,36165.0,34699.0,36556.0,34503.0,1619480
2009-02-02,34357.0,35383.0,36067.0,34015.0,1701046
2009-02-03,35188.0,34357.0,36165.0,34063.0,2222954
2009-02-04,34992.0,35774.0,36067.0,34454.0,2026915
2009-02-05,33233.0,34406.0,34748.0,33233.0,2865103
2009-02-06,34748.0,34357.0,34748.0,33526.0,2012859
2009-02-09,34944.0,35969.0,36458.0,34601.0,3424084
2009-02-10,35090.0,35187.0,35432.0,34601.0,1938138
2009-02-11,33771.0,32939.0,34063.0,32842.0,2735201
2009-02-12,31962.0,32988.0,33135.0,31766.0,5300466
2009-02-13,32647.0,31815.0,32646.0,31766.0,2226890
2009-02-16,31425.0,31864.0,32548.0,31327.0,3120081
2009-02-17,29910.0,30838.0,31082.0,29323.0,3279803
2009-02-18,27857.0,28736.0,28834.0,27857.0,4673862
2009-02-19,27662.0,27857.0,28785.0,27417.0,4063825
2009-02-20,26733.0,27368.0,27710.0,25951.0,2886763
2009-02-23,27808.0,26195.0,27808.0,25609.0,2700008
2009-02-24,26538.0,26195.0,26879.0,25902.0,2374999
2009-02-25,27026.0,28199.0,28345.0,26342.0,3780913
2009-02-26,27173.0,27612.0,28345.0,26195.0,2558254
2009-02-27,28737.0,27759.0,29274.0,26928.0,3921999
2009-03-02,27466.0,27954.0,28492.0,27172.0,3433278
2009-03-03,27417.0,26684.0,27808.0,26146.0,2653253
2009-03-04,28248.0,27075.0,28736.0,26293.0,2980429
2009-03-05,27368.0,28541.0,28639.0,27368.0,2775433
2009-03-06,26293.0,26488.0,26879.0,26244.0,2323941
2009-03-09,26244.0,26781.0,26928.0,25706.0,2358537
2009-03-10,29323.0,25413.0,30154.0,25413.0,6350798
2009-03-11,31474.0,31082.0,31864.0,30398.0,5181076
2009-03-12,31278.0,31082.0,31278.0,30007.0,4678093
2009-03-13,30887.0,32060.0,32157.0,30887.0,3079141
2009-03-16,31767.0,30838.0,32500.0,30789.0,2944058
2009-03-17,33917.0,33086.0,34063.0,32842.0,4882255
2009-03-18,33135.0,34210.0,34210.0,32646.0,3956124
2009-03-19,31376.0,34063.0,34112.0,31082.0,5671278
2009-03-20,31180.0,30936.0,31766.0,30642.0,3073540
2009-03-23,32744.0,31473.0,32939.0,31375.0,2404024
2009-03-24,34259.0,35090.0,35187.0,33868.0,3991198
2009-03-25,34406.0,33770.0,34552.0,33281.0,2108615
2009-03-26,35872.0,34210.0,35921.0,33966.0,3902218
2009-03-27,35383.0,35921.0,36458.0,34992.0,2827273
2009-03-30,33038.0,34943.0,35090.0,33037.0,2397373
2009-03-31,32207.0,33233.0,33819.0,32206.0,3147540
2009-04-01,33673.0,33135.0,34259.0,32744.0,3108388
2009-04-02,35970.0,34894.0,36165.0,34503.0,4189551
2009-04-03,36947.0,36947.0,37289.0,36067.0,3676473
2009-04-06,37045.0,36947.0,38511.0,36849.0,2747019
2009-04-07,36214.0,36409.0,37093.0,35872.0,2385477
2009-04-08,34553.0,35432.0,35676.0,34503.0,2378356
2009-04-09,37045.0,35041.0,37631.0,34992.0,4266460
