date,close,open,high,low,volume
2016-07-13,6590.0,6794.0,7207.0,6492.0,12274129
2016-07-14,6899.0,6761.0,7000.0,6712.0,3397345
2016-07-15,6796.0,6966.0,7000.0,6746.0,1303228
2016-07-18,6776.0,6822.0,6863.0,6554.0,928447
2016-07-19,6968.0,6787.0,7000.0,6671.0,655856
2016-07-20,6899.0,6863.0,6966.0,6794.0,450242
2016-07-21,6803.0,6966.0,6966.0,6802.0,433347
2016-07-22,6796.0,6802.0,6863.0,6746.0,187109
2016-07-25,6487.0,6761.0,6828.0,6410.0,1083671
2016-07-26,6171.0,6485.0,6485.0,6142.0,1108286
2016-07-27,6226.0,6142.0,6252.0,6101.0,573908
2016-07-28,6330.0,6176.0,6382.0,6129.0,492840
2016-07-29,6232.0,6314.0,6438.0,6211.0,375077
2016-08-01,5938.0,6232.0,6259.0,5799.0,753632
2016-08-02,6205.0,5894.0,6252.0,5806.0,464140
2016-08-03,6096.0,6183.0,6232.0,5970.0,397133
2016-08-04,6330.0,6129.0,6362.0,6046.0,491032
2016-08-05,6453.0,6327.0,6471.0,6320.0,494622
2016-08-08,6343.0,6500.0,6500.0,6280.0,266265
2016-08-09,6268.0,6341.0,6348.0,6101.0,482283
2016-08-10,6123.0,6314.0,6314.0,6095.0,412723
2016-08-11,6123.0,6122.0,6197.0,6074.0,232800
2016-08-12,6185.0,6183.0,6273.0,6135.0,407251
2016-08-16,6157.0,6217.0,6293.0,6087.0,270720
2016-08-17,6117.0,6163.0,6183.0,6081.0,134234
2016-08-18,5966.0,6107.0,6115.0,5902.0,288448
2016-08-19,5869.0,5998.0,5998.0,5819.0,297470
2016-08-22,6041.0,5868.0,6101.0,5703.0,354579
2016-08-23,6179.0,6039.0,6176.0,5970.0,221710
2016-08-24,6185.0,6225.0,6314.0,6176.0,199352
2016-08-25,6157.0,6163.0,6183.0,5697.0,187016
2016-08-26,6090.0,6087.0,6163.0,6032.0,202401
2016-08-29,5972.0,6087.0,6095.0,5834.0,258856
2016-08-30,5801.0,5970.0,5970.0,5765.0,393937
2016-08-31,5697.0,5791.0,5834.0,5628.0,249418
2016-09-01,5519.0,5697.0,5697.0,5442.0,612662
2016-09-02,5519.0,5518.0,5538.0,5456.0,159494
2016-09-05,5492.0,5531.0,5538.0,5463.0,217859
2016-09-06,5431.0,5511.0,5511.0,5421.0,165555
2016-09-07,5402.0,5477.0,5497.0,5284.0,462226
2016-09-08,5451.0,5366.0,5477.0,5333.0,198937
2016-09-09,5306.0,5448.0,5448.0,5298.0,234237
2016-09-12,5197.0,5243.0,5284.0,5146.0,199181
2016-09-13,5306.0,5188.0,5381.0,4968.0,890585
2016-09-19,5471.0,5339.0,5531.0,5271.0,418678
2016-09-20,5780.0,5469.0,5894.0,5469.0,760584
2016-09-21,5828.0,5799.0,5854.0,5661.0,389415
2016-09-22,5732.0,5834.0,5834.0,5730.0,340060
2016-09-23,5869.0,5703.0,5894.0,5703.0,546787
2016-09-26,5999.0,5902.0,6025.0,5882.0,630741
2016-09-27,6130.0,5998.0,6190.0,5950.0,737377
2016-09-28,6171.0,6129.0,6252.0,6107.0,327643
2016-09-29,6240.0,6169.0,6252.0,6032.0,313271
2016-09-30,6144.0,6238.0,6238.0,6039.0,278611
2016-10-04,6315.0,6142.0,6362.0,6039.0,585187
2016-10-05,6315.0,6280.0,6355.0,6176.0,266870
2016-10-06,6240.0,6280.0,6348.0,6129.0,170282
2016-10-07,6082.0,6183.0,6259.0,6081.0,215559
2016-10-10,6308.0,6081.0,6335.0,6081.0,363080
2016-10-11,6364.0,6314.0,6417.0,6190.0,508791
2016-10-12,6308.0,6259.0,6355.0,6217.0,180325
2016-10-13,6240.0,6232.0,6300.0,6142.0,173556
2016-10-14,6179.0,6156.0,6245.0,6115.0,143199
2016-10-17,5972.0,6176.0,6183.0,5936.0,153213
2016-10-18,5856.0,5950.0,6039.0,5697.0,421664
2016-10-19,5835.0,5868.0,5963.0,5751.0,217023
2016-10-20,5869.0,5841.0,5874.0,5819.0,214371
2016-10-21,5732.0,5902.0,5916.0,5690.0,261454
2016-10-24,5732.0,5730.0,5834.0,5716.0,153441
2016-10-25,5684.0,5799.0,5799.0,5531.0,270814
2016-10-26,5402.0,5599.0,5710.0,5373.0,319851
2016-10-27,5389.0,5469.0,5477.0,5333.0,201752
2016-10-28,5546.0,5415.0,5661.0,5298.0,211181
2016-10-31,5321.0,5566.0,5566.0,5264.0,168641
2016-11-01,5321.0,5264.0,5366.0,5264.0,144983
2016-11-02,5183.0,5318.0,5346.0,5113.0,324458
2016-11-03,5526.0,5146.0,5579.0,5023.0,475356
2016-11-04,5499.0,5456.0,5558.0,5208.0,283293
2016-11-07,5471.0,5524.0,5552.0,5353.0,239707
2016-11-08,5554.0,5497.0,5641.0,5477.0,496533
2016-11-09,5526.0,5558.0,5621.0,5394.0,600153
2016-11-10,5739.0,5572.0,5743.0,5546.0,315698
2016-11-11,5925.0,5758.0,5970.0,5697.0,471799
2016-11-14,5877.0,5998.0,6012.0,5765.0,379989
2016-11-15,5938.0,5874.0,5936.0,5771.0,265680
2016-11-16,6048.0,5936.0,6122.0,5882.0,399023
2016-11-17,5966.0,6081.0,6081.0,5950.0,240155
2016-11-18,5877.0,5929.0,5963.0,5834.0,291507
2016-11-21,5931.0,5936.0,6074.0,5874.0,418609
2016-11-22,5897.0,5929.0,5956.0,5812.0,252374
2016-11-23,5828.0,5902.0,5902.0,5771.0,143257
2016-11-24,5746.0,5827.0,5834.0,5697.0,159001
2016-11-25,5594.0,5703.0,5724.0,5318.0,1065786
2016-11-28,5677.0,5593.0,5710.0,5511.0,272947
2016-11-29,5739.0,5558.0,5737.0,5428.0,457164
2016-11-30,5877.0,5791.0,6046.0,5710.0,865762
2016-12-01,5883.0,5950.0,5956.0,5703.0,364091
2016-12-02,5766.0,5861.0,5861.0,5661.0,190254
2016-12-05,5712.0,5682.0,5765.0,5621.0,142796
2016-12-06,5739.0,5882.0,5882.0,5607.0,237405
2016-12-07,5945.0,5791.0,5970.0,5621.0,269190
2016-12-08,5938.0,5943.0,6032.0,5868.0,232333
2016-12-09,5904.0,5923.0,5950.0,5841.0,163466
2016-12-12,5979.0,5910.0,5984.0,5841.0,253502
2016-12-13,5986.0,5978.0,5998.0,5902.0,208529
2016-12-14,6007.0,5984.0,6039.0,5936.0,290486
2016-12-15,6048.0,6004.0,6107.0,5868.0,309394
2016-12-16,6123.0,6054.0,6142.0,6004.0,215901
2016-12-19,6151.0,6122.0,6176.0,6081.0,125052
2016-12-20,6035.0,6156.0,6156.0,6025.0,167775
2016-12-21,6110.0,6095.0,6129.0,6004.0,206174
2016-12-22,6110.0,6107.0,6129.0,6039.0,187550
2016-12-23,6082.0,6060.0,6101.0,6012.0,121911
2016-12-26,6138.0,6046.0,6135.0,6039.0,206421
2016-12-27,6274.0,6135.0,6273.0,6129.0,403979
2016-12-28,6274.0,6341.0,6341.0,6235.0,74516
2016-12-29,6267.0,6273.0,6280.0,6062.0,123400
2017-01-02,6146.0,6197.0,6258.0,6145.0,105645
2017-01-03,6033.0,6145.0,6206.0,6009.0,188072
2017-01-04,6040.0,6092.0,6123.0,6009.0,149611
2017-01-05,6176.0,6076.0,6175.0,6009.0,98838
2017-01-06,6282.0,6206.0,6348.0,6106.0,290639
2017-01-09,6320.0,6327.0,6348.0,6213.0,244873
2017-01-10,6313.0,6243.0,6341.0,6235.0,162576
2017-01-11,6237.0,6310.0,6341.0,6160.0,200523
2017-01-12,6274.0,6190.0,6327.0,6115.0,195873
2017-01-13,6290.0,6273.0,6310.0,6206.0,131443
2017-01-16,6282.0,6288.0,6310.0,6197.0,105092
2017-01-17,6259.0,6206.0,6303.0,6197.0,165696
2017-01-18,6244.0,6258.0,6288.0,6197.0,198566
2017-01-19,6230.0,6243.0,6273.0,6152.0,174331
2017-01-20,6206.0,6288.0,6288.0,6175.0,142581
2017-01-23,6388.0,6258.0,6394.0,6190.0,184146
2017-01-24,6380.0,6387.0,6401.0,6266.0,121644
2017-01-25,6274.0,6387.0,6394.0,6213.0,111745
2017-01-26,6191.0,6213.0,6280.0,6137.0,112118
2017-01-31,6222.0,6190.0,6243.0,6123.0,93210
2017-02-01,6123.0,6145.0,6213.0,6115.0,108609
2017-02-02,6002.0,6123.0,6152.0,6002.0,176419
2017-02-03,6078.0,6092.0,6092.0,5911.0,78020
2017-02-06,6026.0,6024.0,6076.0,5971.0,76087
2017-02-07,6018.0,6016.0,6085.0,5926.0,113246
2017-02-08,5934.0,6039.0,6047.0,5895.0,68156
2017-02-09,6297.0,5979.0,6327.0,5895.0,321909
2017-02-10,6327.0,6310.0,6371.0,6190.0,200349
2017-02-13,6327.0,6371.0,6378.0,6235.0,124882
2017-02-14,6342.0,6348.0,6409.0,6296.0,143613
2017-02-15,6448.0,6303.0,6462.0,6303.0,230372
2017-02-16,6304.0,6447.0,6462.0,6280.0,171833
2017-02-17,6365.0,6303.0,6378.0,6190.0,142119
2017-02-20,6365.0,6243.0,6401.0,6243.0,95394
2017-02-21,6501.0,6266.0,6628.0,6266.0,277308
2017-02-22,6471.0,6560.0,6560.0,6401.0,100406
2017-02-23,6720.0,6477.0,6749.0,6477.0,421819
2017-02-24,6720.0,6718.0,6786.0,6598.0,181690
2017-02-27,6796.0,6763.0,6817.0,6711.0,205128
2017-02-28,6766.0,6726.0,6786.0,6718.0,90003
2017-03-02,6705.0,6772.0,6794.0,6651.0,163114
2017-03-03,6749.0,6659.0,6786.0,6621.0,114172
2017-03-06,6841.0,6681.0,6976.0,6666.0,348214
2017-03-07,6720.0,6802.0,6922.0,6696.0,233635
2017-03-08,6788.0,6824.0,6832.0,6734.0,195823
2017-03-09,6645.0,6794.0,6976.0,6635.0,418349
2017-03-10,6984.0,6703.0,6998.0,6659.0,491360
2017-03-13,6931.0,6930.0,7043.0,6877.0,319792
2017-03-14,6901.0,6945.0,6990.0,6688.0,226087
2017-03-15,6758.0,6832.0,6892.0,6703.0,181388
2017-03-16,6689.0,6749.0,6839.0,6621.0,232653
2017-03-17,6637.0,6711.0,6718.0,6598.0,143061
2017-03-20,6508.0,6688.0,6688.0,6492.0,162637
2017-03-21,6417.0,6530.0,6545.0,6401.0,155005
2017-03-22,6478.0,6394.0,6568.0,6310.0,253067
2017-03-23,6365.0,6492.0,6560.0,6318.0,271512
2017-03-24,6388.0,6364.0,6409.0,6334.0,144112
2017-03-27,6554.0,6356.0,6642.0,6296.0,272336
2017-03-28,6441.0,6628.0,6642.0,6417.0,240965
2017-03-29,6455.0,6439.0,6462.0,6356.0,140081
2017-03-30,6508.0,6455.0,6514.0,6417.0,96352
2017-03-31,6494.0,6538.0,6613.0,6484.0,81774
2017-04-03,6485.0,6560.0,6598.0,6424.0,125157
2017-04-04,6554.0,6492.0,6568.0,6378.0,199824
2017-04-05,6538.0,6530.0,6582.0,6492.0,194830
2017-04-06,6494.0,6568.0,6568.0,6462.0,44885
2017-04-07,6455.0,6401.0,6492.0,6356.0,198665
2017-04-10,6448.0,6598.0,6598.0,6348.0,241083
2017-04-11,6463.0,6447.0,6492.0,6387.0,118712
2017-04-12,6380.0,6409.0,6484.0,6378.0,153796
2017-04-13,6516.0,6401.0,6522.0,6394.0,162632
2017-04-14,6417.0,6500.0,6514.0,6401.0,123069
2017-04-17,6592.0,6417.0,6621.0,6409.0,179153
2017-04-18,6546.0,6591.0,6598.0,6455.0,297244
2017-04-19,6524.0,6598.0,6598.0,6455.0,173758
2017-04-20,6508.0,6500.0,6530.0,6455.0,107348
2017-04-21,6508.0,6514.0,6568.0,6469.0,106456
2017-04-24,6395.0,6538.0,6538.0,6348.0,320788
2017-04-25,6425.0,6364.0,6447.0,6364.0,148823
2017-04-26,6516.0,6409.0,6545.0,6401.0,219762
2017-04-27,6546.0,6514.0,6598.0,6469.0,183958
2017-04-28,6599.0,6530.0,6628.0,6492.0,190529
2017-05-02,6562.0,6568.0,6621.0,6560.0,87599
2017-05-04,6705.0,6530.0,6718.0,6530.0,150073
2017-05-08,6705.0,6642.0,6711.0,6582.0,148325
2017-05-10,6742.0,6718.0,6772.0,6590.0,160407
2017-05-11,6735.0,6742.0,6794.0,6642.0,215482
2017-05-12,6825.0,6983.0,6983.0,6786.0,467255
2017-05-15,6916.0,6824.0,6953.0,6802.0,257959
2017-05-16,7000.0,6900.0,7021.0,6870.0,572153
2017-05-17,7097.0,6983.0,7096.0,6983.0,348219
2017-05-18,7045.0,7021.0,7050.0,6922.0,209527
2017-05-19,6924.0,7043.0,7050.0,6877.0,215908
