date,close,open,high,low,volume
2011-05-13,5242.0,6161.0,6161.0,5241.0,428994
2011-05-16,4465.0,4464.0,4464.0,4464.0,487412
2011-05-17,3796.0,3938.0,4056.0,3796.0,12268654
2011-05-18,3730.0,3881.0,3895.0,3706.0,6188170
2011-05-19,3280.0,3739.0,3763.0,3194.0,6181312
2011-05-20,3265.0,3298.0,3431.0,3170.0,2796097
2011-05-23,3270.0,3317.0,3383.0,3128.0,3248272
2011-05-24,3156.0,3189.0,3369.0,3156.0,2782720
2011-05-25,2938.0,3203.0,3213.0,2928.0,3131207
2011-05-26,2796.0,2938.0,2985.0,2791.0,2786850
2011-05-27,2801.0,2819.0,2862.0,2744.0,1859673
2011-05-30,2749.0,2829.0,2891.0,2748.0,1587448
2011-05-31,2692.0,2772.0,2782.0,2649.0,1430988
2011-06-01,2834.0,2710.0,2914.0,2663.0,2073742
2011-06-02,2877.0,2763.0,2905.0,2729.0,1648810
2011-06-03,2801.0,2910.0,2933.0,2782.0,1339224
2011-06-07,3071.0,2805.0,3118.0,2805.0,2015537
2011-06-08,3033.0,3056.0,3090.0,2938.0,955371
2011-06-09,2938.0,2981.0,3052.0,2905.0,641405
2011-06-10,2777.0,2976.0,2976.0,2772.0,1083304
2011-06-13,2635.0,2734.0,2782.0,2564.0,795765
2011-06-14,2664.0,2620.0,2725.0,2620.0,438758
2011-06-15,2697.0,2654.0,2710.0,2630.0,388019
2011-06-16,2673.0,2663.0,2758.0,2658.0,490926
2011-06-17,2607.0,2635.0,2668.0,2554.0,1079500
2011-06-20,2616.0,2644.0,2649.0,2592.0,342793
2011-06-21,2616.0,2630.0,2635.0,2592.0,417925
2011-06-22,2616.0,2635.0,2644.0,2587.0,395547
2011-06-23,2611.0,2597.0,2663.0,2597.0,511061
2011-06-24,2626.0,2611.0,2649.0,2601.0,424038
2011-06-27,2645.0,2630.0,2701.0,2625.0,546856
2011-06-28,2659.0,2663.0,2692.0,2625.0,543074
2011-06-29,2616.0,2673.0,2682.0,2564.0,552299
2011-06-30,2616.0,2616.0,2635.0,2587.0,366617
2011-07-01,2583.0,2616.0,2625.0,2578.0,441346
2011-07-04,2592.0,2592.0,2606.0,2578.0,325662
2011-07-05,2578.0,2592.0,2592.0,2568.0,277286
2011-07-06,2621.0,2573.0,2635.0,2564.0,479314
2011-07-07,2588.0,2606.0,2625.0,2583.0,349177
2011-07-08,2592.0,2597.0,2644.0,2592.0,334952
2011-07-11,2654.0,2639.0,2692.0,2611.0,570212
2011-07-12,2649.0,2654.0,2668.0,2625.0,262106
2011-07-13,2664.0,2654.0,2673.0,2620.0,215423
2011-07-14,2654.0,2620.0,2663.0,2620.0,309510
2011-07-15,2948.0,2654.0,3014.0,2639.0,1533401
2011-07-18,3014.0,2976.0,3099.0,2976.0,1413258
2011-07-19,3033.0,2976.0,3052.0,2957.0,404094
2011-07-20,2943.0,3042.0,3066.0,2928.0,863284
2011-07-21,2967.0,2938.0,2966.0,2715.0,1217984
2011-07-22,2962.0,2928.0,3004.0,2872.0,314316
2011-07-25,2815.0,2910.0,2947.0,2815.0,271061
2011-07-26,2896.0,2815.0,3023.0,2815.0,547353
2011-07-27,2844.0,2900.0,2900.0,2838.0,236658
2011-07-28,2853.0,2786.0,2891.0,2782.0,487011
2011-07-29,2787.0,2843.0,2876.0,2786.0,306690
2011-08-01,2938.0,2843.0,2938.0,2805.0,334403
2011-08-02,2853.0,2910.0,2933.0,2829.0,378855
2011-08-03,2754.0,2805.0,2829.0,2744.0,487206
2011-08-04,2716.0,2819.0,2819.0,2701.0,298395
2011-08-05,2659.0,2540.0,2663.0,2417.0,332001
2011-08-08,2465.0,2649.0,2649.0,2260.0,743174
2011-08-09,2265.0,2237.0,2350.0,2094.0,621105
2011-08-10,2213.0,2379.0,2445.0,2146.0,618179
2011-08-11,2119.0,2056.0,2175.0,1947.0,732076
2011-08-12,2123.0,2213.0,2213.0,2099.0,578488
2011-08-16,2251.0,2189.0,2255.0,2170.0,382696
2011-08-17,2299.0,2251.0,2331.0,2241.0,516683
2011-08-18,2185.0,2274.0,2293.0,2132.0,590390
2011-08-19,1896.0,2037.0,2037.0,1895.0,1057068
2011-08-22,1820.0,1895.0,1928.0,1815.0,388977
2011-08-23,1896.0,1838.0,1900.0,1838.0,414069
2011-08-24,1877.0,1952.0,1962.0,1848.0,291353
2011-08-25,1934.0,1895.0,1952.0,1895.0,225030
2011-08-26,1953.0,1905.0,1957.0,1895.0,143291
2011-08-29,1957.0,1971.0,1990.0,1938.0,380503
2011-08-30,2019.0,2000.0,2066.0,1957.0,625897
2011-08-31,2085.0,2014.0,2094.0,1985.0,589696
2011-09-01,2109.0,2099.0,2161.0,2047.0,814612
2011-09-02,2085.0,2056.0,2090.0,2052.0,562977
2011-09-05,2010.0,2028.0,2052.0,2009.0,378479
2011-09-06,2019.0,1990.0,2019.0,1952.0,404549
2011-09-07,2033.0,2019.0,2085.0,1990.0,436383
2011-09-08,2024.0,2052.0,2052.0,2019.0,224278
2011-09-09,2000.0,2000.0,2033.0,1985.0,207919
2011-09-14,1938.0,1971.0,2004.0,1933.0,214802
2011-09-15,1896.0,1957.0,1990.0,1891.0,168608
2011-09-16,2066.0,1919.0,2066.0,1919.0,405575
2011-09-19,2156.0,2061.0,2374.0,2019.0,670969
2011-09-20,2147.0,2161.0,2218.0,2085.0,239892
2011-09-21,2152.0,2203.0,2213.0,2137.0,156344
2011-09-22,2066.0,2061.0,2142.0,2028.0,187692
2011-09-23,1938.0,1943.0,1990.0,1919.0,337658
2011-09-26,1848.0,1914.0,1938.0,1805.0,350307
2011-09-27,1953.0,1857.0,1957.0,1857.0,181333
2011-09-28,1943.0,1981.0,1995.0,1928.0,104441
2011-09-29,2024.0,1933.0,2023.0,1895.0,129287
2011-09-30,2071.0,2047.0,2132.0,2014.0,313021
2011-10-04,1986.0,1985.0,2009.0,1943.0,193493
2011-10-05,1934.0,1995.0,2004.0,1900.0,203834
2011-10-06,1972.0,1952.0,2014.0,1952.0,84520
2011-10-07,1967.0,2019.0,2019.0,1943.0,236126
2011-10-10,1962.0,1985.0,1985.0,1943.0,86802
2011-10-11,2005.0,2033.0,2033.0,1971.0,163135
2011-10-12,2066.0,1985.0,2075.0,1985.0,219029
2011-10-13,2171.0,2094.0,2255.0,2066.0,336635
2011-10-14,2275.0,2165.0,2279.0,2123.0,320969
2011-10-17,2308.0,2293.0,2393.0,2274.0,410405
2011-10-18,2303.0,2260.0,2308.0,2194.0,190125
2011-10-19,2299.0,2303.0,2364.0,2284.0,275724
2011-10-20,2114.0,2322.0,2322.0,2113.0,324851
2011-10-21,2209.0,2218.0,2227.0,2146.0,215718
2011-10-24,2199.0,2213.0,2312.0,2184.0,264397
2011-10-25,2180.0,2189.0,2237.0,2165.0,276126
2011-10-26,2175.0,2142.0,2184.0,2137.0,136638
2011-10-27,2228.0,2184.0,2227.0,2175.0,255441
2011-10-28,2218.0,2289.0,2298.0,2189.0,385416
2011-10-31,2232.0,2227.0,2289.0,2208.0,259863
2011-11-01,2175.0,2180.0,2218.0,2142.0,231986
2011-11-02,2156.0,2090.0,2156.0,2066.0,325111
2011-11-03,2090.0,2156.0,2161.0,2090.0,210834
2011-11-04,2128.0,2142.0,2151.0,2099.0,295649
2011-11-07,2128.0,2128.0,2151.0,2094.0,141913
2011-11-08,2090.0,2123.0,2175.0,2090.0,220700
2011-11-09,2095.0,2113.0,2123.0,2090.0,202397
2011-11-10,2033.0,2047.0,2056.0,1976.0,351038
2011-11-11,2033.0,2042.0,2052.0,2023.0,133009
2011-11-14,2071.0,2037.0,2090.0,2037.0,150770
2011-11-15,2052.0,2061.0,2066.0,2028.0,101387
2011-11-16,2047.0,2042.0,2109.0,2037.0,221601
2011-11-17,2038.0,2056.0,2056.0,2023.0,128013
2011-11-18,2076.0,2023.0,2104.0,2009.0,164501
2011-11-21,2076.0,2075.0,2113.0,2037.0,131409
2011-11-22,2057.0,2037.0,2071.0,2033.0,174043
2011-11-23,2057.0,2080.0,2080.0,2033.0,184621
2011-11-24,2033.0,2028.0,2052.0,2019.0,88264
2011-11-25,2024.0,2037.0,2056.0,2019.0,120550
2011-11-28,2047.0,2047.0,2061.0,2023.0,135850
2011-11-29,2047.0,2047.0,2056.0,2033.0,124345
2011-11-30,2010.0,2047.0,2094.0,2009.0,263093
2011-12-01,2028.0,2071.0,2071.0,2028.0,306284
2011-12-02,2024.0,2023.0,2047.0,2023.0,77800
2011-12-05,2024.0,2037.0,2037.0,2004.0,138695
2011-12-06,2014.0,2023.0,2052.0,2009.0,119445
2011-12-07,2028.0,2019.0,2037.0,2009.0,128758
2011-12-08,2047.0,2023.0,2047.0,2014.0,72773
2011-12-09,2010.0,2019.0,2028.0,2009.0,118755
2011-12-12,2010.0,2023.0,2028.0,2004.0,223104
2011-12-13,2010.0,2000.0,2019.0,2000.0,410784
2011-12-14,2175.0,1990.0,2251.0,1990.0,420471
2011-12-15,2133.0,2156.0,2156.0,2090.0,1830695
2011-12-16,2223.0,2132.0,2289.0,2132.0,374962
2011-12-19,2228.0,2184.0,2293.0,2066.0,530009
2011-12-20,2265.0,2312.0,2346.0,2232.0,254530
2011-12-21,2303.0,2274.0,2331.0,2241.0,259414
2011-12-22,2408.0,2369.0,2535.0,2341.0,917970
2011-12-23,2559.0,2464.0,2611.0,2388.0,658498
2011-12-26,2555.0,2597.0,2597.0,2502.0,166086
2011-12-27,2540.0,2606.0,2606.0,2511.0,290936
2011-12-28,2507.0,2568.0,2568.0,2507.0,232199
2011-12-29,2531.0,2483.0,2554.0,2473.0,212355
2012-01-02,2540.0,2573.0,2573.0,2473.0,181048
2012-01-03,2559.0,2545.0,2564.0,2545.0,356570
2012-01-04,2697.0,2587.0,2758.0,2587.0,506431
2012-01-05,2725.0,2734.0,2786.0,2696.0,434335
2012-01-06,2749.0,2763.0,2763.0,2663.0,157376
2012-01-09,2720.0,2782.0,2782.0,2692.0,113747
2012-01-10,2683.0,2720.0,2748.0,2654.0,247987
2012-01-11,2645.0,2692.0,2692.0,2639.0,240184
2012-01-12,2720.0,2682.0,2791.0,2654.0,199378
2012-01-13,2739.0,2720.0,2763.0,2720.0,59382
2012-01-16,2701.0,2701.0,2772.0,2673.0,60142
2012-01-17,2706.0,2687.0,2739.0,2625.0,243995
2012-01-18,2716.0,2744.0,2744.0,2692.0,90158
2012-01-19,2701.0,2720.0,2734.0,2682.0,65191
2012-01-20,2706.0,2739.0,2739.0,2654.0,205380
2012-01-25,2654.0,2739.0,2739.0,2639.0,153862
2012-01-26,2664.0,2635.0,2692.0,2587.0,190460
2012-01-27,2692.0,2663.0,2692.0,2625.0,143257
2012-01-30,2687.0,2701.0,2720.0,2673.0,76400
2012-01-31,2697.0,2687.0,2701.0,2644.0,134073
2012-02-01,2659.0,2687.0,2687.0,2620.0,114189
2012-02-02,2739.0,2682.0,2739.0,2673.0,174775
2012-02-03,2735.0,2777.0,2805.0,2687.0,156241
2012-02-06,2844.0,2748.0,2891.0,2734.0,286779
2012-02-07,2863.0,2853.0,2886.0,2824.0,197454
2012-02-08,2806.0,2862.0,2891.0,2753.0,339799
2012-02-09,2815.0,2796.0,2838.0,2753.0,272489
2012-02-10,2829.0,2815.0,2843.0,2777.0,153743
2012-02-13,2810.0,2834.0,2838.0,2763.0,182759
2012-02-14,2815.0,2805.0,2824.0,2767.0,113984
2012-02-15,2801.0,2791.0,2853.0,2782.0,176011
2012-02-16,2720.0,2801.0,2801.0,2720.0,227614
2012-02-17,2697.0,2739.0,2763.0,2654.0,189067
2012-02-20,2730.0,2734.0,2734.0,2654.0,151599
2012-02-21,2730.0,2725.0,2739.0,2649.0,183806
2012-02-22,2711.0,2729.0,2729.0,2687.0,143583
2012-02-23,2616.0,2692.0,2715.0,2616.0,282603
2012-02-24,2673.0,2601.0,2682.0,2601.0,108616
2012-02-27,2664.0,2687.0,2701.0,2639.0,129875
2012-02-28,2735.0,2682.0,2753.0,2644.0,111410
2012-02-29,2744.0,2734.0,2767.0,2720.0,79949
2012-03-02,2744.0,2748.0,2777.0,2710.0,121322
2012-03-05,2739.0,2748.0,2753.0,2725.0,56339
