date,close,open,high,low,volume
2012-10-19,9014.0,7842.0,9010.0,7842.0,207974
2012-10-22,7809.0,9010.0,9320.0,7767.0,1290572
2012-10-23,7172.0,7805.0,8234.0,7090.0,746142
2012-10-24,6902.0,7114.0,7440.0,6834.0,249469
2012-10-25,6806.0,6981.0,7159.0,6710.0,189589
2012-10-26,6340.0,6803.0,6935.0,6329.0,168343
2012-10-29,5596.0,6305.0,6399.0,5590.0,215444
2012-10-30,6433.0,5590.0,6431.0,5590.0,322828
2012-10-31,6140.0,6655.0,6927.0,6135.0,453417
2012-11-01,6403.0,6251.0,6462.0,5942.0,170340
2012-11-02,6333.0,6523.0,6631.0,6251.0,121278
2012-11-05,6293.0,6251.0,6362.0,6212.0,131286
2012-11-06,6248.0,6399.0,6399.0,6244.0,54630
2012-11-07,6481.0,6244.0,6640.0,6244.0,185237
2012-11-08,6497.0,6366.0,6562.0,6267.0,101838
2012-11-09,6473.0,6617.0,7463.0,6469.0,1488952
2012-11-12,6403.0,6491.0,6562.0,6362.0,172309
2012-11-13,6029.0,6399.0,6469.0,5942.0,131672
2012-11-14,6060.0,5909.0,6141.0,5870.0,81078
2012-11-15,5788.0,5956.0,6040.0,5700.0,60195
2012-11-16,5564.0,5706.0,5925.0,5513.0,65166
2012-11-19,5596.0,5590.0,5706.0,5513.0,39471
2012-11-20,5711.0,5637.0,5861.0,5637.0,43454
2012-11-21,5578.0,5716.0,5785.0,5528.0,46755
2012-11-22,5564.0,5576.0,5677.0,5553.0,32649
2012-11-23,5835.0,5747.0,6197.0,5669.0,345185
2012-11-26,6411.0,6049.0,6664.0,6049.0,552764
2012-11-27,6014.0,6415.0,6415.0,5909.0,171334
2012-11-28,5922.0,6011.0,6059.0,5902.0,44355
2012-11-29,5828.0,5794.0,6027.0,5794.0,96869
2012-11-30,5828.0,5824.0,5915.0,5824.0,36441
2012-12-03,5782.0,5886.0,5886.0,5724.0,57991
2012-12-04,5828.0,5886.0,5902.0,5762.0,65399
2012-12-05,5758.0,5824.0,5831.0,5747.0,76788
2012-12-06,5767.0,5747.0,5794.0,5738.0,46138
2012-12-07,5758.0,5753.0,5794.0,5747.0,29084
2012-12-10,5788.0,5769.0,5808.0,5769.0,26600
2012-12-11,5805.0,5817.0,5817.0,5785.0,30479
2012-12-12,5773.0,5777.0,5800.0,5762.0,27369
2012-12-13,5782.0,5753.0,5817.0,5747.0,25525
2012-12-14,5805.0,5777.0,5808.0,5753.0,23986
2012-12-17,6038.0,5785.0,6110.0,5785.0,70098
2012-12-18,6193.0,6135.0,6366.0,6059.0,126081
2012-12-20,6218.0,6913.0,6935.0,6212.0,186407
2012-12-21,6224.0,6135.0,6290.0,5979.0,104779
2012-12-24,6511.0,6290.0,6648.0,6228.0,133498
2012-12-26,6590.0,6508.0,6586.0,6384.0,85768
2012-12-27,6493.0,6530.0,6619.0,6425.0,29188
2012-12-28,6502.0,6481.0,6521.0,6394.0,24990
2013-01-02,6573.0,6488.0,6845.0,6488.0,69572
2013-01-03,6606.0,6658.0,6762.0,6570.0,54550
2013-01-04,7041.0,6610.0,7360.0,6440.0,265704
2013-01-07,6685.0,6787.0,6813.0,6626.0,128056
2013-01-08,6590.0,6779.0,6779.0,6570.0,53991
2013-01-09,6541.0,6545.0,6643.0,6537.0,46750
2013-01-10,6534.0,6514.0,6593.0,6465.0,33828
2013-01-11,6508.0,6530.0,6577.0,6474.0,44731
2013-01-14,6446.0,6521.0,6521.0,6400.0,30922
2013-01-15,6405.0,6553.0,6553.0,6279.0,40684
2013-01-16,6339.0,6474.0,6474.0,6320.0,34145
2013-01-17,6316.0,6297.0,6394.0,6239.0,34393
2013-01-18,6324.0,6289.0,6367.0,6279.0,14647
2013-01-21,6324.0,6320.0,6400.0,6289.0,18415
2013-01-22,6187.0,6297.0,6362.0,6151.0,29912
2013-01-23,6202.0,6200.0,6239.0,6127.0,35855
2013-01-24,6194.0,6200.0,6320.0,6159.0,23323
2013-01-25,6267.0,6200.0,6279.0,6141.0,22230
2013-01-28,6235.0,6289.0,6289.0,6141.0,15550
2013-01-29,6267.0,6232.0,6320.0,6135.0,20488
2013-01-30,6202.0,6215.0,6271.0,6191.0,14997
2013-01-31,6099.0,6200.0,6263.0,6095.0,21233
2013-02-01,5977.0,6079.0,6109.0,5965.0,30034
2013-02-04,5969.0,5982.0,6063.0,5949.0,14472
2013-02-05,5888.0,5974.0,5974.0,5885.0,13962
2013-02-06,5936.0,5828.0,5957.0,5828.0,13160
2013-02-07,5897.0,5933.0,5949.0,5894.0,9938
2013-02-08,5945.0,5957.0,5957.0,5885.0,11082
2013-02-12,6122.0,5957.0,6183.0,5942.0,23842
2013-02-13,6259.0,6135.0,6297.0,6135.0,25500
2013-02-14,6276.0,6271.0,6279.0,6207.0,5621
2013-02-15,6290.0,6297.0,6328.0,6215.0,9071
2013-02-18,6154.0,6127.0,6279.0,6127.0,29208
2013-02-19,6106.0,6151.0,6159.0,6036.0,27278
2013-02-20,6178.0,6159.0,6175.0,6079.0,20985
2013-02-21,6083.0,6175.0,6175.0,6079.0,24590
2013-02-22,6122.0,6079.0,6135.0,6013.0,17850
2013-02-25,6090.0,6135.0,6135.0,6023.0,16108
2013-02-26,5995.0,6045.0,6095.0,5989.0,23167
2013-02-27,6001.0,5957.0,6063.0,5957.0,23952
2013-02-28,6043.0,6013.0,6070.0,5925.0,40407
2013-03-04,5977.0,6055.0,6055.0,5974.0,21434
2013-03-05,5985.0,5933.0,5997.0,5933.0,19090
2013-03-06,5985.0,5997.0,6055.0,5949.0,11283
2013-03-07,6001.0,6023.0,6023.0,5942.0,13307
2013-03-08,5962.0,5957.0,6030.0,5894.0,7532
2013-03-11,5936.0,5989.0,5989.0,5804.0,21393
2013-03-12,5962.0,5957.0,5957.0,5828.0,11518
2013-03-13,5922.0,5974.0,5974.0,5894.0,11872
2013-03-14,5897.0,5974.0,5974.0,5878.0,16701
2013-03-15,6043.0,5957.0,6045.0,5894.0,20063
2013-03-18,6043.0,6045.0,6159.0,5989.0,52313
2013-03-19,6017.0,6023.0,6063.0,5957.0,24705
2013-03-20,5945.0,5982.0,6036.0,5925.0,18736
2013-03-21,5922.0,5901.0,5989.0,5901.0,22172
2013-03-22,5880.0,5909.0,5942.0,5878.0,18382
2013-03-25,5969.0,5925.0,5997.0,5859.0,17819
2013-03-26,5922.0,5933.0,5942.0,5894.0,14527
2013-03-27,5922.0,5925.0,5974.0,5901.0,14533
2013-03-28,5936.0,5933.0,5949.0,5885.0,9580
2013-03-29,5930.0,5915.0,5942.0,5878.0,14228
2013-04-01,6043.0,5915.0,6036.0,5915.0,34567
2013-04-02,6025.0,6063.0,6070.0,5982.0,16788
2013-04-03,5977.0,6030.0,6030.0,5901.0,11194
2013-04-04,5873.0,5982.0,5982.0,5780.0,34287
2013-04-05,5776.0,5869.0,5869.0,5690.0,33674
2013-04-08,5737.0,5828.0,5859.0,5724.0,8885
2013-04-09,5632.0,5683.0,5756.0,5620.0,14444
2013-04-10,5640.0,5603.0,5658.0,5571.0,13715
2013-04-11,5678.0,5658.0,5731.0,5620.0,9195
2013-04-12,5704.0,5677.0,5764.0,5612.0,17462
2013-04-15,5632.0,5700.0,5700.0,5571.0,7120
2013-04-16,5623.0,5523.0,5634.0,5523.0,6282
2013-04-17,5671.0,5690.0,5690.0,5586.0,9931
2013-04-18,5664.0,5612.0,5690.0,5612.0,8618
2013-04-19,5574.0,5634.0,5634.0,5547.0,12747
2013-04-22,5592.0,5579.0,5690.0,5571.0,23591
2013-04-23,5623.0,5634.0,5652.0,5579.0,10863
2013-04-24,5873.0,5603.0,5957.0,5603.0,60380
2013-04-25,6099.0,5957.0,6255.0,5915.0,204862
2013-04-26,6057.0,6119.0,6183.0,6036.0,74405
2013-04-29,6025.0,6007.0,6079.0,5957.0,24730
2013-04-30,6025.0,5974.0,6095.0,5974.0,30445
2013-05-02,6259.0,6023.0,6352.0,6013.0,182558
2013-05-03,6324.0,6362.0,6425.0,6167.0,54900
2013-05-06,6290.0,6408.0,6408.0,6207.0,100731
2013-05-07,6324.0,6248.0,6375.0,6239.0,54608
2013-05-08,6324.0,6320.0,6521.0,6119.0,112233
