date,close,open,high,low,volume
2013-08-29,64322.0,75420.0,75420.0,64322.0,66124
2013-08-30,54737.0,54736.0,56250.0,54736.0,10162252
2013-09-02,57512.0,55493.0,57763.0,54484.0,3379432
2013-09-03,55494.0,57763.0,58015.0,55493.0,1205030
2013-09-04,54989.0,54988.0,56754.0,54736.0,643225
2013-09-05,54989.0,55241.0,55745.0,53980.0,1095134
2013-09-06,52467.0,54988.0,55745.0,51961.0,1067937
2013-09-09,53980.0,52718.0,54484.0,51709.0,913548
2013-09-10,57764.0,54736.0,58520.0,54232.0,1612532
2013-09-11,57259.0,57511.0,58015.0,56502.0,761680
2013-09-12,58520.0,58520.0,59781.0,57511.0,1450099
2013-09-13,58016.0,57763.0,58772.0,57006.0,493753
2013-09-16,55998.0,58520.0,58772.0,55745.0,594568
2013-09-17,55241.0,55997.0,56754.0,54988.0,547118
2013-09-23,54737.0,55493.0,57511.0,54736.0,867300
2013-09-24,56250.0,54988.0,56502.0,54736.0,570354
2013-09-25,58268.0,56502.0,58772.0,55997.0,983377
2013-09-26,61547.0,58772.0,63817.0,58267.0,1917596
2013-09-27,61295.0,61547.0,61799.0,60033.0,642544
2013-09-30,59530.0,60790.0,61799.0,59529.0,576467
2013-10-01,59277.0,59781.0,61042.0,58267.0,531883
2013-10-02,62556.0,59529.0,62808.0,59529.0,906392
2013-10-04,60539.0,62303.0,63312.0,59781.0,828867
2013-10-07,57512.0,60286.0,60790.0,57511.0,722793
2013-10-08,57512.0,57259.0,57763.0,55745.0,807538
2013-10-10,56250.0,57006.0,58015.0,55745.0,593355
2013-10-11,57007.0,56754.0,57259.0,55745.0,759899
2013-10-14,54737.0,57006.0,57259.0,54736.0,553860
2013-10-15,55746.0,55241.0,56502.0,54988.0,628183
2013-10-16,50953.0,55241.0,56250.0,50196.0,2793902
2013-10-17,50449.0,51457.0,52214.0,50448.0,827015
2013-10-18,51710.0,50700.0,52466.0,50700.0,724850
2013-10-21,53728.0,52214.0,54484.0,51709.0,650615
2013-10-22,55494.0,53980.0,55997.0,52718.0,869537
2013-10-23,54989.0,55241.0,56250.0,54736.0,676322
2013-10-24,58016.0,55493.0,58015.0,54988.0,967375
2013-10-25,59530.0,58520.0,59781.0,58267.0,850476
2013-10-28,58520.0,59024.0,59276.0,57006.0,591739
2013-10-29,57007.0,58520.0,59024.0,56754.0,518713
2013-10-30,57764.0,57259.0,58267.0,55997.0,571268
2013-10-31,57259.0,57259.0,58267.0,56502.0,471659
2013-11-01,54989.0,57259.0,57259.0,54232.0,1323005
2013-11-04,54989.0,54988.0,55997.0,54736.0,309794
2013-11-05,54233.0,55493.0,55493.0,53980.0,299336
2013-11-06,52971.0,53980.0,54988.0,51961.0,561317
2013-11-07,51962.0,53475.0,54484.0,51961.0,425468
2013-11-08,51205.0,52214.0,52970.0,50953.0,407392
2013-11-11,51962.0,51961.0,54484.0,51457.0,544656
2013-11-12,50701.0,52466.0,52718.0,50297.0,809350
2013-11-13,48784.0,49944.0,50347.0,47169.0,1289468
2013-11-14,47523.0,49691.0,49842.0,47370.0,640182
2013-11-15,45959.0,47925.0,48178.0,45605.0,1460233
2013-11-18,47623.0,46563.0,47825.0,46160.0,842834
2013-11-19,47926.0,48027.0,48783.0,47219.0,569010
2013-11-20,47825.0,47724.0,48783.0,47017.0,515946
2013-11-21,47725.0,47976.0,48682.0,47169.0,355576
2013-11-22,50701.0,48380.0,51457.0,47925.0,965151
2013-11-25,51458.0,50953.0,52718.0,50953.0,672231
2013-11-26,51962.0,51961.0,52718.0,50700.0,453324
2013-11-27,49036.0,51709.0,51961.0,48934.0,835580
2013-11-28,48027.0,49187.0,49237.0,47522.0,1092470
2013-11-29,48229.0,47925.0,48632.0,47674.0,518711
2013-12-02,46564.0,48228.0,48228.0,46563.0,693800
2013-12-03,45908.0,46362.0,47320.0,45655.0,587140
2013-12-04,44193.0,46008.0,46412.0,44041.0,802866
2013-12-05,45303.0,44898.0,46059.0,44646.0,622118
2013-12-06,46766.0,44898.0,47017.0,44898.0,601163
2013-12-09,49036.0,47219.0,49237.0,46917.0,775508
2013-12-10,47422.0,49237.0,49842.0,47421.0,500323
2013-12-11,47119.0,47169.0,48682.0,46715.0,354712
2013-12-12,45908.0,46614.0,46765.0,45555.0,447048
2013-12-13,47775.0,45958.0,48027.0,45201.0,461175
2013-12-16,45908.0,47674.0,48380.0,45807.0,445495
2013-12-17,45555.0,46160.0,46715.0,44747.0,574834
2013-12-18,46312.0,45605.0,47118.0,45453.0,460398
2013-12-19,46463.0,46715.0,47017.0,46261.0,233754
2013-12-20,47321.0,46412.0,47320.0,45958.0,327657
2013-12-23,46816.0,47825.0,48178.0,46765.0,387647
2013-12-24,47623.0,47118.0,47774.0,46362.0,358082
2013-12-26,46917.0,47724.0,47875.0,46866.0,198653
2013-12-27,48683.0,47068.0,48834.0,46866.0,474283
2013-12-30,48633.0,48581.0,48682.0,47875.0,283302
2014-01-02,47270.0,48682.0,48834.0,47118.0,280844
2014-01-03,46009.0,47169.0,47169.0,45655.0,631920
2014-01-06,46261.0,46059.0,46513.0,45756.0,240265
2014-01-07,44698.0,45958.0,46008.0,44646.0,749386
2014-01-08,40510.0,43789.0,43890.0,40358.0,1932818
2014-01-09,40864.0,40711.0,41670.0,40409.0,719523
2014-01-10,40208.0,41014.0,41317.0,39500.0,619553
2014-01-13,40611.0,40106.0,41166.0,39955.0,476766
2014-01-14,41822.0,40207.0,42174.0,40207.0,571305
2014-01-15,41822.0,42124.0,42124.0,41216.0,277476
2014-01-16,42377.0,42074.0,43083.0,41619.0,441592
2014-01-17,41570.0,42376.0,42780.0,41216.0,228910
2014-01-20,42125.0,42023.0,42628.0,41821.0,298776
2014-01-21,41217.0,41973.0,41973.0,41014.0,240746
2014-01-22,41166.0,41216.0,41619.0,41064.0,205139
2014-01-23,42226.0,41367.0,42679.0,41317.0,404538
2014-01-24,41116.0,41973.0,42124.0,40459.0,488795
2014-01-27,39653.0,39904.0,40157.0,39551.0,364483
2014-01-28,38543.0,39500.0,39804.0,38441.0,467233
