date,close,open,high,low,volume
2014-04-07,64232.0,63944.0,73120.0,63657.0,669085
2014-04-08,73790.0,64805.0,73790.0,64614.0,547635
2014-04-09,72739.0,72069.0,80958.0,69201.0,1289933
2014-04-10,74555.0,74267.0,77804.0,72642.0,469749
2014-04-11,69776.0,73598.0,75319.0,69775.0,295291
2014-04-14,70827.0,70253.0,72069.0,69297.0,132670
2014-04-15,72070.0,71591.0,73981.0,71018.0,158050
2014-04-16,69298.0,71877.0,72642.0,69106.0,171818
2014-04-17,70827.0,69584.0,71304.0,69297.0,110554
2014-04-18,70636.0,71877.0,71877.0,70062.0,81066
2014-04-21,67769.0,70922.0,71400.0,66429.0,192668
2014-04-22,66622.0,67863.0,68532.0,66525.0,143415
2014-04-23,65952.0,67290.0,67672.0,65761.0,93002
2014-04-24,65761.0,66334.0,66908.0,65091.0,79807
2014-04-25,64805.0,65761.0,66620.0,64614.0,88931
2014-04-28,66717.0,64422.0,66811.0,64135.0,91346
2014-04-29,66048.0,66811.0,67099.0,65761.0,49598
2014-04-30,66431.0,66716.0,68054.0,65761.0,117602
2014-05-02,66813.0,66429.0,67385.0,65761.0,53204
2014-05-07,68246.0,67003.0,68246.0,66908.0,127057
2014-05-08,67386.0,68246.0,68246.0,66716.0,54293
2014-05-09,71783.0,67194.0,72165.0,67194.0,198743
2014-05-12,72930.0,71782.0,73311.0,70348.0,138712
2014-05-13,72547.0,72929.0,73407.0,71782.0,56942
2014-05-14,72547.0,72833.0,73311.0,71782.0,53548
2014-05-15,71592.0,73024.0,74076.0,71018.0,100214
2014-05-16,71018.0,72165.0,72451.0,70348.0,101793
2014-05-19,73694.0,71017.0,73693.0,70921.0,116672
2014-05-20,73694.0,73502.0,73980.0,72641.0,66240
2014-05-21,72547.0,73503.0,74267.0,72547.0,63365
2014-05-22,74460.0,72833.0,74458.0,71782.0,140395
2014-05-23,76849.0,74649.0,78282.0,73885.0,141448
2014-05-26,76084.0,76848.0,78760.0,75892.0,89733
2014-05-27,76180.0,76561.0,76943.0,74267.0,62048
2014-05-28,76754.0,76179.0,77804.0,75510.0,70393
2014-05-29,77518.0,77804.0,79333.0,76752.0,83946
2014-05-30,78570.0,78377.0,79811.0,77708.0,57961
2014-06-02,76945.0,78377.0,78568.0,76657.0,42125
2014-06-03,76371.0,75701.0,77134.0,74554.0,74931
2014-06-05,79238.0,75987.0,80098.0,75223.0,89259
2014-06-09,82011.0,80098.0,82296.0,79333.0,81540
2014-06-10,82584.0,82009.0,83157.0,80289.0,60201
2014-06-11,81628.0,82966.0,83825.0,81341.0,43059
2014-06-12,81819.0,82009.0,82296.0,80958.0,32282
2014-06-13,83922.0,81244.0,84590.0,80671.0,65690
2014-06-16,84209.0,83922.0,84877.0,83348.0,55348
2014-06-17,87841.0,84877.0,88127.0,84590.0,85354
2014-06-18,87650.0,89274.0,90134.0,87075.0,105189
2014-06-19,87937.0,88318.0,90517.0,86406.0,109559
