date,close,open,high,low,volume
2016-10-04,7475.0,6749.0,8000.0,6075.0,4562896
2016-10-05,7550.0,7400.0,7750.0,7225.0,1095269
2016-10-06,7650.0,7550.0,7975.0,7024.0,866798
2016-10-07,7250.0,7550.0,7750.0,7250.0,335463
2016-10-10,7250.0,7200.0,8100.0,7150.0,597020
2016-10-11,7500.0,7275.0,7700.0,7200.0,252425
2016-10-12,7650.0,7375.0,7700.0,7324.0,156469
2016-10-13,7575.0,7650.0,7650.0,7400.0,95647
2016-10-14,7750.0,7500.0,7800.0,7474.0,96745
2016-10-17,7275.0,7700.0,7800.0,7250.0,174759
2016-10-18,7350.0,7274.0,7450.0,6900.0,167770
2016-10-19,7250.0,7300.0,7400.0,7075.0,51375
2016-10-20,7350.0,7250.0,7900.0,7200.0,513018
2016-10-21,7700.0,7375.0,7700.0,7375.0,166240
2016-10-24,7775.0,7650.0,7800.0,7600.0,124228
2016-10-25,7550.0,7800.0,7800.0,7450.0,65990
2016-10-26,7675.0,7625.0,7825.0,7525.0,160565
2016-10-27,7750.0,7650.0,7900.0,7450.0,130313
2016-10-28,7700.0,7625.0,7875.0,7525.0,80731
2016-10-31,7500.0,7600.0,7725.0,7425.0,41387
2016-11-01,7725.0,7575.0,7725.0,7375.0,71745
2016-11-02,7575.0,7700.0,7825.0,7500.0,94654
2016-11-03,7525.0,7475.0,7625.0,7275.0,117287
2016-11-04,7350.0,7574.0,7574.0,7350.0,33919
2016-11-07,7325.0,7400.0,7500.0,7325.0,26951
2016-11-08,7450.0,7350.0,7500.0,7224.0,67874
2016-11-09,7400.0,7475.0,7475.0,6900.0,86837
2016-11-10,6800.0,7300.0,7375.0,6725.0,335735
2016-11-11,6525.0,6900.0,6900.0,6525.0,138693
2016-11-14,6750.0,6574.0,6850.0,6525.0,191212
2016-11-15,7150.0,6900.0,7274.0,6750.0,208458
2016-11-16,7375.0,7250.0,7575.0,7200.0,168700
2016-11-17,7400.0,7325.0,7500.0,7300.0,259759
2016-11-18,7250.0,7400.0,7450.0,7150.0,83476
2016-11-21,7350.0,7250.0,7450.0,7174.0,44476
2016-11-22,7225.0,7325.0,7500.0,7075.0,101980
2016-11-23,7125.0,7175.0,7225.0,7100.0,50960
2016-11-24,7125.0,7125.0,7300.0,7049.0,25979
2016-11-25,7200.0,7225.0,7225.0,7050.0,50493
2016-11-28,7450.0,7175.0,7524.0,7175.0,48891
2016-11-29,7325.0,7449.0,7449.0,7200.0,108863
2016-11-30,7500.0,7400.0,7500.0,7225.0,33104
2016-12-01,7450.0,7524.0,7550.0,7124.0,42275
2016-12-02,7225.0,7500.0,7500.0,7225.0,18462
2016-12-05,7350.0,7250.0,7450.0,7125.0,23254
2016-12-06,7275.0,7250.0,7475.0,7225.0,9739
2016-12-07,7350.0,7225.0,7450.0,7150.0,25903
2016-12-08,7425.0,7325.0,7525.0,7275.0,28562
2016-12-09,7625.0,7550.0,8300.0,7475.0,308935
2016-12-12,7725.0,7750.0,7825.0,7550.0,67934
2016-12-13,7700.0,7600.0,7750.0,7400.0,784072
2016-12-14,7550.0,7700.0,7700.0,7474.0,121055
2016-12-15,7350.0,7525.0,7550.0,7300.0,170375
2016-12-16,7375.0,7349.0,7425.0,7250.0,49424
2016-12-19,7400.0,7350.0,7425.0,7125.0,85676
2016-12-20,7350.0,7274.0,7450.0,7274.0,48812
2016-12-21,7425.0,7300.0,7449.0,7249.0,45359
2016-12-22,7475.0,7425.0,7475.0,7300.0,31469
2016-12-23,7450.0,7450.0,7550.0,7375.0,50380
2016-12-26,7600.0,7400.0,7600.0,7325.0,46965
2016-12-27,7525.0,7475.0,7600.0,7449.0,35033
2016-12-28,7575.0,7425.0,7650.0,7425.0,56148
2016-12-29,7650.0,7575.0,7700.0,7500.0,39250
2017-01-02,7600.0,7650.0,7650.0,7450.0,25404
2017-01-03,7650.0,7524.0,7775.0,7524.0,43492
2017-01-04,7650.0,7624.0,7724.0,7524.0,57658
2017-01-05,7500.0,7575.0,7600.0,7500.0,47137
2017-01-06,7300.0,7500.0,7500.0,7275.0,47616
2017-01-09,7275.0,7250.0,7325.0,7225.0,36763
2017-01-10,7175.0,7250.0,7325.0,7050.0,62814
2017-01-11,7000.0,7100.0,7150.0,6950.0,102601
2017-01-12,6850.0,6950.0,7075.0,6650.0,132494
2017-01-13,6900.0,6850.0,7100.0,6750.0,100755
2017-01-16,6825.0,6900.0,7025.0,6800.0,36335
2017-01-17,7100.0,6850.0,7250.0,6825.0,115530
2017-01-18,7375.0,7100.0,7475.0,7100.0,301597
2017-01-19,7250.0,7350.0,7400.0,7224.0,68995
2017-01-20,7350.0,7250.0,7474.0,7174.0,116220
2017-01-23,7350.0,7300.0,7474.0,7150.0,72250
2017-01-24,7200.0,7350.0,7475.0,7175.0,64767
2017-01-25,7375.0,7200.0,7450.0,7200.0,62906
2017-01-26,7500.0,7500.0,7550.0,7225.0,100999
2017-01-31,7300.0,7500.0,7500.0,7000.0,283083
2017-02-01,7700.0,7300.0,7725.0,7250.0,341255
2017-02-02,7575.0,7700.0,7725.0,7500.0,159040
2017-02-03,7800.0,7500.0,7825.0,7400.0,219105
2017-02-06,8100.0,7675.0,8275.0,7550.0,382847
2017-02-07,7825.0,8000.0,8049.0,7625.0,162538
2017-02-08,7975.0,7825.0,8100.0,7700.0,276434
2017-02-09,8025.0,7875.0,8075.0,7750.0,138570
2017-02-10,8250.0,8025.0,8425.0,7925.0,323225
2017-02-13,8275.0,8250.0,8350.0,7950.0,102379
2017-02-14,8225.0,8250.0,8550.0,8125.0,140999
2017-02-15,8000.0,8225.0,8400.0,7925.0,122128
2017-02-16,7800.0,8025.0,8050.0,7725.0,122464
2017-02-17,8050.0,7800.0,8175.0,7775.0,73326
2017-02-20,8075.0,8200.0,8250.0,7875.0,81575
2017-02-21,8225.0,8000.0,8375.0,8000.0,93785
2017-02-22,8425.0,8325.0,8600.0,8250.0,113196
2017-02-23,8425.0,8525.0,8575.0,8350.0,93464
2017-02-24,7950.0,8400.0,8549.0,7950.0,90031
2017-02-27,8100.0,7950.0,8225.0,7750.0,47449
2017-02-28,8300.0,8400.0,8450.0,8100.0,226373
2017-03-02,8300.0,8475.0,8475.0,8174.0,51921
2017-03-03,8125.0,8275.0,8325.0,7950.0,80605
2017-03-06,8275.0,8125.0,8400.0,7900.0,79542
2017-03-07,8450.0,8250.0,8500.0,8049.0,78136
2017-03-08,8400.0,8425.0,8425.0,8200.0,44353
2017-03-09,8625.0,8700.0,9100.0,8525.0,210146
2017-03-10,8900.0,8625.0,9125.0,8400.0,241565
2017-03-13,8875.0,8975.0,9125.0,8525.0,281575
2017-03-14,8725.0,8950.0,9000.0,8600.0,110896
