date,close,open,high,low,volume
2017-05-10,78000.0,82300.0,90500.0,73400.0,756348
2017-05-11,77500.0,76500.0,79000.0,75600.0,239477
2017-05-12,75900.0,77900.0,79100.0,74600.0,141833
2017-05-15,72100.0,75500.0,75700.0,72100.0,159155
2017-05-16,69500.0,72100.0,72500.0,65800.0,339657
2017-05-17,70300.0,69800.0,72900.0,69600.0,154380
2017-05-18,70000.0,69200.0,71600.0,68800.0,125683
2017-05-19,72900.0,70500.0,74800.0,70300.0,156722
2017-05-22,74900.0,72900.0,76600.0,72900.0,110111
2017-05-23,79400.0,75100.0,79600.0,75100.0,156818
2017-05-24,83000.0,81000.0,83500.0,79300.0,203838
2017-05-25,83200.0,84300.0,84600.0,81500.0,119043
2017-05-26,86400.0,84000.0,86900.0,82400.0,139977
2017-05-29,84000.0,87200.0,88400.0,83200.0,93206
2017-05-30,80800.0,84800.0,84800.0,80300.0,113967
2017-05-31,81600.0,80100.0,83700.0,79700.0,98697
2017-06-01,82700.0,80800.0,83600.0,78900.0,85698
2017-06-02,82400.0,83400.0,83500.0,82000.0,52411
2017-06-05,79500.0,81600.0,81700.0,79500.0,92105
2017-06-07,80200.0,78700.0,80700.0,78700.0,49310
2017-06-08,84000.0,79700.0,84000.0,78600.0,93344
2017-06-09,84000.0,83900.0,85899.0,82600.0,95372
2017-06-12,82400.0,83600.0,85299.0,81700.0,48519
2017-06-13,78100.0,80000.0,82700.0,77600.0,169733
2017-06-14,84700.0,78800.0,85300.0,78700.0,209336
2017-06-15,84100.0,84700.0,84700.0,82600.0,55646
2017-06-16,81000.0,83600.0,84500.0,80200.0,76537
2017-06-19,80200.0,81200.0,82000.0,79800.0,43177
2017-06-20,78800.0,79600.0,80000.0,78000.0,59037
2017-06-21,78200.0,78400.0,78600.0,77800.0,52507
2017-06-22,74100.0,74600.0,74700.0,73700.0,1359752
2017-06-23,75100.0,74600.0,77000.0,74100.0,195209
2017-06-26,76400.0,75200.0,76700.0,74800.0,74771
2017-06-27,76600.0,77300.0,77400.0,75900.0,77312
2017-06-28,76200.0,76000.0,76600.0,75100.0,53669
2017-06-29,76100.0,75800.0,76800.0,75800.0,49753
2017-06-30,77300.0,75500.0,78900.0,75500.0,80888
2017-07-03,79600.0,78000.0,80300.0,77500.0,121095
2017-07-04,80000.0,80200.0,81500.0,78800.0,98576
2017-07-05,80000.0,80100.0,80700.0,78300.0,83053
2017-07-06,80600.0,79900.0,81500.0,79100.0,90389
2017-07-07,82800.0,80700.0,83100.0,80600.0,217344
2017-07-10,81500.0,82000.0,83000.0,80900.0,60182
2017-07-11,79300.0,81200.0,81200.0,78800.0,90630
2017-07-12,77600.0,78800.0,79400.0,77000.0,83297
2017-07-13,78600.0,77700.0,79400.0,77700.0,55015
2017-07-14,79800.0,78000.0,79900.0,77200.0,69914
2017-07-17,80600.0,80200.0,81400.0,80000.0,86256
2017-07-18,79900.0,80100.0,80500.0,79600.0,37778
2017-07-19,80400.0,79900.0,80600.0,79500.0,42657
2017-07-20,82600.0,80300.0,83199.0,80200.0,130006
2017-07-21,84200.0,82200.0,84600.0,81900.0,102181
2017-07-24,82200.0,84000.0,84000.0,82100.0,50263
2017-07-25,82400.0,82600.0,84000.0,82400.0,74225
2017-07-26,85100.0,82700.0,85500.0,82700.0,138352
2017-07-27,85700.0,85300.0,86800.0,84600.0,120955
2017-07-28,85300.0,85800.0,86000.0,84100.0,100106
2017-07-31,88100.0,85300.0,88800.0,84900.0,141689
2017-08-01,92700.0,88100.0,93100.0,85300.0,301709
2017-08-02,95800.0,92000.0,97000.0,92000.0,202143
