date,open,high,low,close,volume
2024-02-27,445500.0,467500.0,288500.0,317500.0,4366768
2024-02-28,309500.0,316500.0,281500.0,304000.0,1194118
2024-02-29,303000.0,328000.0,293500.0,298000.0,1148671
2024-03-04,308500.0,312500.0,296500.0,299500.0,479366
2024-03-05,297000.0,299000.0,271500.0,277500.0,466188
2024-03-06,273000.0,292000.0,272500.0,286500.0,393427
2024-03-07,284000.0,285500.0,264500.0,264500.0,329553
2024-03-08,266500.0,274000.0,256500.0,262000.0,298477
2024-03-11,259500.0,262000.0,250000.0,250500.0,215442
2024-03-12,252500.0,259000.0,249000.0,252000.0,151190
2024-03-13,255000.0,298000.0,251000.0,287000.0,1050984
2024-03-14,289500.0,299000.0,276500.0,290000.0,363969
2024-03-15,290500.0,316000.0,286000.0,300500.0,703183
2024-03-18,297500.0,306500.0,286500.0,287000.0,225312
2024-03-19,289500.0,290000.0,261500.0,261500.0,304746
2024-03-20,260000.0,270000.0,255500.0,257000.0,175043
2024-03-21,258000.0,267000.0,257000.0,259000.0,118554
2024-03-22,266000.0,271000.0,258000.0,258500.0,124715
2024-03-25,258000.0,275000.0,251500.0,269000.0,240026
2024-03-26,269000.0,275500.0,262500.0,264500.0,215642
2024-03-27,245500.0,279000.0,245500.0,278500.0,1034796
2024-03-28,275500.0,278000.0,262000.0,262000.0,257878
2024-03-29,262000.0,266000.0,249500.0,250000.0,314954
2024-04-01,255500.0,260500.0,250000.0,251000.0,220465
2024-04-02,253500.0,259000.0,248000.0,256500.0,166472
2024-04-03,256500.0,257000.0,249000.0,251000.0,125986
2024-04-04,252000.0,253000.0,247000.0,250500.0,112298
2024-04-05,247500.0,248000.0,232000.0,233000.0,222573
2024-04-08,236000.0,237000.0,217000.0,217500.0,184030
2024-04-09,219000.0,230000.0,219000.0,222500.0,110773
2024-04-11,220000.0,236000.0,211500.0,236000.0,168058
2024-04-12,237500.0,242500.0,233000.0,241500.0,100841
2024-04-15,235000.0,239000.0,229500.0,237500.0,75367
2024-04-16,233000.0,235000.0,225000.0,233000.0,66944
2024-04-17,233500.0,254000.0,233500.0,252000.0,231781
2024-04-18,253500.0,253500.0,240000.0,248000.0,165924
2024-04-19,245000.0,259000.0,239000.0,239000.0,257258
2024-04-22,238000.0,244000.0,235500.0,238500.0,63692
2024-04-23,238500.0,244500.0,232000.0,232000.0,97592
2024-04-24,232000.0,235500.0,231000.0,234500.0,68630
2024-04-25,233500.0,254500.0,231000.0,250000.0,263382
2024-04-26,249500.0,252500.0,243500.0,249500.0,121390
2024-04-29,252000.0,279000.0,249500.0,270000.0,1151681
2024-04-30,274000.0,285000.0,271500.0,284000.0,438776
2024-05-02,289500.0,301000.0,281500.0,289000.0,821579
2024-05-03,290500.0,299500.0,288500.0,297000.0,261926
2024-05-07,299000.0,300000.0,286500.0,293500.0,242746
2024-05-08,301000.0,309000.0,287500.0,292000.0,317918
2024-05-09,290000.0,330000.0,288500.0,320000.0,822129
2024-05-10,323000.0,348500.0,317000.0,341500.0,559605
2024-05-13,346000.0,350000.0,321500.0,332500.0,399094
2024-05-14,338000.0,349000.0,331000.0,333500.0,262614
2024-05-16,334500.0,337500.0,324000.0,334000.0,192934
2024-05-17,334000.0,347500.0,329000.0,336000.0,210355
2024-05-20,338000.0,350000.0,329000.0,330500.0,268859
2024-05-21,329500.0,341500.0,323000.0,335500.0,218192
2024-05-22,332500.0,335500.0,317000.0,317500.0,270775
2024-05-23,315000.0,331500.0,309500.0,331500.0,209029
2024-05-24,328500.0,364000.0,326000.0,362000.0,468525
2024-05-27,358000.0,371000.0,346500.0,352000.0,303472
2024-05-28,359500.0,370500.0,358000.0,368500.0,267153
2024-05-29,370000.0,379000.0,358500.0,361500.0,245365
2024-05-30,367000.0,374500.0,350500.0,358500.0,224153
2024-05-31,368500.0,374000.0,362500.0,369500.0,329159
2024-06-03,369500.0,369500.0,338500.0,359500.0,403329
2024-06-04,359500.0,359500.0,326500.0,328500.0,396300
2024-06-05,323000.0,337000.0,321500.0,326000.0,222714
2024-06-07,326000.0,332500.0,318000.0,324500.0,168819
2024-06-10,325000.0,343000.0,325000.0,335000.0,224270
2024-06-11,337000.0,378000.0,335500.0,362000.0,506463
2024-06-12,364000.0,371500.0,351500.0,368500.0,221735
2024-06-13,373500.0,391500.0,358500.0,371000.0,472184
2024-06-14,389000.0,406500.0,381000.0,390000.0,630570
2024-06-17,386500.0,395000.0,377500.0,390000.0,197105
2024-06-18,386000.0,405000.0,383500.0,389500.0,298332
2024-06-19,392000.0,397500.0,365000.0,376000.0,268708
2024-06-20,373500.0,378500.0,360000.0,364500.0,164038
2024-06-21,369000.0,399500.0,367000.0,399000.0,483977
2024-06-24,397500.0,408000.0,384000.0,400000.0,361411
2024-06-25,395000.0,402000.0,378000.0,379000.0,186025
2024-06-26,378500.0,403500.0,375500.0,402500.0,272794
2024-06-27,400000.0,409500.0,394000.0,401500.0,158962
2024-06-28,400000.0,406000.0,392500.0,393000.0,137332
2024-07-01,399000.0,405500.0,380000.0,380000.0,241028
2024-07-02,382000.0,390000.0,357500.0,378000.0,281195
2024-07-03,379500.0,380000.0,335500.0,338500.0,527818
2024-07-04,337500.0,347500.0,331000.0,339000.0,318880
2024-07-05,339000.0,339000.0,316500.0,316500.0,526040
2024-07-08,313500.0,324500.0,313500.0,321500.0,235574
2024-07-09,321500.0,324000.0,301000.0,301000.0,420865
2024-07-10,302500.0,308000.0,294500.0,301500.0,239019
2024-07-11,301500.0,305000.0,285000.0,288500.0,437417
2024-07-12,288500.0,290000.0,280000.0,283500.0,194811
2024-07-15,288000.0,294500.0,286500.0,291000.0,209968
2024-07-16,294500.0,301000.0,286000.0,287500.0,159253
2024-07-17,291500.0,305000.0,288000.0,298500.0,219007
2024-07-18,298000.0,302000.0,290000.0,291500.0,113305
2024-07-19,293500.0,293500.0,281500.0,281500.0,98420
2024-07-22,281500.0,282500.0,267000.0,270000.0,170822
2024-07-23,272000.0,284000.0,264500.0,283000.0,151663
2024-07-24,286500.0,302500.0,286000.0,294000.0,202515
2024-07-25,289000.0,297000.0,285000.0,286000.0,93214
2024-07-26,285500.0,286500.0,274000.0,275500.0,97528
2024-07-29,274000.0,287000.0,274000.0,283000.0,80554
2024-07-30,283500.0,290500.0,280500.0,285500.0,72615
2024-07-31,290500.0,305500.0,250500.0,250500.0,527119
2024-08-01,251500.0,256000.0,244500.0,249500.0,182995
2024-08-02,243500.0,245000.0,228500.0,231500.0,187146
2024-08-05,222000.0,225000.0,191900.0,205000.0,231067
2024-08-06,207500.0,224500.0,207500.0,221000.0,147974
2024-08-07,218000.0,223500.0,212500.0,219000.0,97425
2024-08-08,216000.0,224500.0,213000.0,218000.0,74089
2024-08-09,221500.0,231500.0,220500.0,227000.0,116624
2024-08-12,231500.0,254000.0,231500.0,247000.0,204234
2024-08-13,247000.0,254500.0,238000.0,242000.0,108212
2024-08-14,246500.0,256000.0,244000.0,255500.0,123460
2024-08-16,260500.0,266000.0,258000.0,260500.0,104760
2024-08-19,257500.0,266000.0,252000.0,263500.0,84846
2024-08-20,267000.0,276000.0,264000.0,275000.0,92792
2024-08-21,273000.0,281500.0,265500.0,270000.0,113307
2024-08-22,270000.0,274500.0,260500.0,263000.0,62877
2024-08-23,257000.0,266500.0,256000.0,264500.0,38952
2024-08-26,264500.0,264500.0,253000.0,255000.0,66769
2024-08-27,250000.0,259000.0,249000.0,252000.0,147724
2024-08-28,255000.0,270000.0,252000.0,256000.0,191735
2024-08-29,256000.0,264000.0,252500.0,256500.0,76577
2024-08-30,256500.0,260000.0,253000.0,257000.0,64988
2024-09-02,270500.0,273000.0,260000.0,264500.0,163657
2024-09-03,265000.0,289500.0,262500.0,286500.0,264501
2024-09-04,276000.0,291000.0,275500.0,279500.0,186247
2024-09-05,285000.0,291000.0,277500.0,286000.0,138917
2024-09-06,283000.0,290500.0,276000.0,284500.0,124947
2024-09-09,280000.0,292500.0,280000.0,290500.0,135595
2024-09-10,293000.0,293000.0,277500.0,277500.0,110320
2024-09-11,279000.0,299000.0,279000.0,295000.0,235512
2024-09-12,297000.0,297500.0,287000.0,293500.0,105702
2024-09-13,294500.0,297000.0,291000.0,294500.0,68870
2024-09-19,294500.0,294500.0,279500.0,284500.0,123577
2024-09-20,284000.0,287500.0,277500.0,284500.0,234748
2024-09-23,298000.0,302500.0,289000.0,291500.0,173863
2024-09-24,291500.0,291500.0,275500.0,275500.0,130526
2024-09-25,275500.0,282000.0,261000.0,263500.0,185083
2024-09-26,263500.0,268500.0,257000.0,266000.0,116568
2024-09-27,265000.0,268500.0,255000.0,255000.0,122259
2024-09-30,255000.0,267000.0,253500.0,266500.0,102421
