date,close,open,high,low,volume
2018-08-06,11900.0,14450.0,18400.0,11700.0,2694870
2018-08-07,12150.0,12300.0,14250.0,11700.0,1889920
2018-08-08,12150.0,12300.0,12600.0,11750.0,643900
2018-08-09,11650.0,12150.0,12150.0,11500.0,413900
2018-08-10,12150.0,12150.0,12300.0,11850.0,469820
2018-08-13,11850.0,12200.0,13400.0,11700.0,562680
2018-08-14,12050.0,12000.0,12450.0,11700.0,198730
2018-08-16,12250.0,12500.0,12600.0,12050.0,215250
2018-08-17,12500.0,12350.0,12550.0,12199.0,108290
2018-08-20,12700.0,12500.0,12900.0,12400.0,130000
2018-08-21,12850.0,12800.0,12850.0,12350.0,188970
2018-08-22,12750.0,12650.0,12850.0,12500.0,162250
2018-08-23,12850.0,12700.0,12850.0,12450.0,188590
2018-08-24,13350.0,12950.0,13350.0,12750.0,144390
2018-08-27,14300.0,12800.0,14400.0,12250.0,406490
2018-08-28,14700.0,14350.0,15749.0,14050.0,194070
2018-08-29,14900.0,14450.0,15000.0,14400.0,83170
2018-08-30,15000.0,14850.0,15350.0,14600.0,127620
2018-08-31,15150.0,14899.0,15500.0,14700.0,122480
2018-09-03,14900.0,15600.0,15600.0,14850.0,130770
2018-09-04,15450.0,14800.0,15500.0,14749.0,124670
2018-09-05,15650.0,15750.0,16299.0,15450.0,213120
2018-09-06,15850.0,16000.0,16900.0,15500.0,342450
2018-09-07,16700.0,15900.0,16700.0,15400.0,183870
2018-09-10,16450.0,16900.0,16900.0,16250.0,121990
2018-09-11,16500.0,16500.0,16700.0,15850.0,234180
2018-09-12,16450.0,16700.0,16700.0,15950.0,140370
2018-09-13,16200.0,16349.0,16550.0,15949.0,119970
2018-09-14,15500.0,16200.0,16200.0,15400.0,116950
2018-09-17,15350.0,15650.0,15800.0,15100.0,127010
2018-09-18,14950.0,15350.0,15649.0,14949.0,129160
2018-09-19,14550.0,14800.0,15050.0,14500.0,64660
