date,close,open,high,low,volume
2023-03-27,4353.0,4729.0,4729.0,4155.0,3015626
2023-03-28,4392.0,4353.0,4469.0,4247.0,718904
2023-03-29,4392.0,4411.0,4488.0,4334.0,447073
2023-03-30,4401.0,4391.0,4439.0,4347.0,193545
2023-03-31,4474.0,4416.0,4474.0,4358.0,208133
2023-04-03,4676.0,4502.0,4676.0,4502.0,272227
2023-04-04,4686.0,4637.0,4719.0,4618.0,241185
2023-04-05,4865.0,4676.0,4874.0,4546.0,477908
2023-04-06,4783.0,4807.0,4951.0,4710.0,518671
2023-04-07,4783.0,4783.0,4811.0,4710.0,97905
2023-04-10,4773.0,4782.0,4922.0,4681.0,179274
2023-04-11,4773.0,4739.0,4797.0,4710.0,180657
2023-04-12,4811.0,4777.0,4835.0,4733.0,128066
2023-04-13,4811.0,4811.0,4912.0,4728.0,260351
2023-04-14,4903.0,4811.0,4922.0,4811.0,186845
2023-04-17,4811.0,4902.0,4921.0,4811.0,131276
2023-04-18,4816.0,4816.0,4893.0,4801.0,80904
2023-04-19,4778.0,4816.0,4826.0,4744.0,60212
2023-04-20,4903.0,4801.0,4951.0,4748.0,339721
2023-04-21,4932.0,4903.0,4989.0,4825.0,430447
2023-04-24,5019.0,4932.0,5019.0,4835.0,283704
2023-04-25,5212.0,5018.0,5260.0,4932.0,500787
2023-04-26,5222.0,5028.0,5222.0,5019.0,165156
2023-04-27,5116.0,5000.0,5173.0,5000.0,94767
2023-04-28,4961.0,5115.0,5163.0,4835.0,69872
2023-05-02,4836.0,4961.0,4961.0,4826.0,73269
2023-05-03,4826.0,4893.0,4903.0,4777.0,49122
2023-05-04,4647.0,4782.0,4782.0,4608.0,1997198
2023-05-08,4710.0,4656.0,4710.0,4647.0,135976
2023-05-09,4696.0,4724.0,4749.0,4662.0,166201
2023-05-10,4696.0,4700.0,4710.0,4662.0,80555
2023-05-11,4749.0,4695.0,4753.0,4671.0,48935
2023-05-12,4773.0,4748.0,4773.0,4695.0,59347
2023-05-15,4792.0,4777.0,4796.0,4729.0,121970
2023-05-16,4894.0,4792.0,4922.0,4768.0,170286
2023-05-17,4884.0,4893.0,4912.0,4801.0,62629
2023-05-18,4874.0,4845.0,4912.0,4845.0,41152
2023-05-19,4874.0,4874.0,4912.0,4835.0,47871
2023-05-22,4807.0,4845.0,4893.0,4768.0,96798
2023-05-23,4821.0,4806.0,4864.0,4782.0,133816
2023-05-24,4874.0,4820.0,4883.0,4806.0,32447
2023-05-25,4845.0,4873.0,4893.0,4806.0,82587
2023-05-26,4874.0,4845.0,4883.0,4825.0,35943
2023-05-30,4855.0,4883.0,4912.0,4806.0,39691
2023-05-31,4783.0,4836.0,4894.0,4778.0,216634
2023-06-01,4865.0,4802.0,4865.0,4768.0,76246
2023-06-02,4874.0,4864.0,4883.0,4825.0,17424
2023-06-05,4884.0,4893.0,4893.0,4845.0,18193
2023-06-07,4826.0,4883.0,4922.0,4782.0,157504
2023-06-08,4826.0,4826.0,4845.0,4777.0,65642
2023-06-09,4807.0,4826.0,4855.0,4807.0,52459
2023-06-12,4773.0,4806.0,4826.0,4729.0,121541
2023-06-13,4855.0,4801.0,4864.0,4797.0,61190
